No.,Train No.,Origin,Destination,Train Name
42.,12077/12078,Chennai,Vijayawada,Jan Shatabdi Express
43.,12829/12830,Chennai,Bhubaneswar,Bhubaneswar Express
44.,12967/12968,Chennai,Jaipur,Jaipur Express
45.,16093/16094,Chennai,Lucknow,Lucknow Express
46.,17311/17312,Chennai,"Vasco da Gama, Goa",Vasco Express
47.,17313/7314,Chennai,Hubli,Hubli Express
48.,12689/12690,Chennai,Nagercoil,Nagercoil Express
49.,12291/12292,Chennai,Yeswantpur,Yeswantpur Express
50.,12755/12756,Chennai,Haldia,Haldia Express
51.,12852/12851,Chennai,Bilaspur,Bilaspur Express
