No.,Train No.,Origin,Destination,Train Name
1.,12615/2616,Chennai,New Delhi,The Grand Trunk Express
2.,12621/2622,Chennai,New Delhi,Tamil Nadu Express
3.,12433/2434,Chennai,H.Nizamudin,Rajdhani Express
4.,12611/2612,Chennai,H.Nizamudin,Garib Rath
5.,11028/11027,Chennai,Mumbai,Mumbai Mail
6.,11042/11041,Chennai,Mumbai,Mumbai Express
7.,12842/12841,Chennai,Howrah,Coromandel Express
8.,12840/12839,Chennai,Howrah,Howrah Mail
9.,12679/12680,Chennai,Coimbatore,Intercity Express
10.,12673/12674,Chennai,Coimbatore,Cheran Express
11.,12675/12676,Chennai,Coimbatore,Kovai Express
