No.,Train No.,Origin,Destination,Train Name,Irrelevant_1,Dummy_Col_2,Noise_Field_3
22.,16203/16204,Chennai,Tirupati,Garudadiri Express,7IwHB,WVqZn,xTqtBH
23.,12759/12760,Chennai,Hyderabad,Charminar Express,7HfSW1sd,RkVwY,ShQWt
24.,12603/12604,Chennai,Hyderabad,Hyderabad Express,KWEELEA,DWvaEVaK,XWCaERt
25.,16669/16670,Chennai,Erode,Yercaud Express,6HMLl0,HxnkThlA,FyedQuR
26.,12639/12640,Chennai,Bangalore,Brindavan Express,p5VxrpYB,jrdxtM,pHVQzfwJ
27.,12607/12608,Chennai,Bangalore,Lal Bagh Express,ytMxjd,WYjiw,GGDQiz
28.,12657/12658,Chennai,Bangalore,Bangalore Mail,ZQPqMna,bAkGTMD,XOrhsoW
29.,12027/12028,Chennai,Bangalore,Shatabdi Express,2q8BkrnX,jaodcv,ZTUrsELR
30.,12609/12610,Chennai,Bangalore,Bangalore Express,LfX1A6,YKtmyUK,fRqueSHR
31.,12691/12692,Chennai,Satya Sai Prasanthi Nilayam,Satya Sai Prasanthi Nilayam Express,AtTBWo,OPQrQJ,aGECsANc
