Match,Date,Ground,Opponent,Score1,Pos.,Pts.,GD
1,15 August,A,Bayer Uerdingen,3 – 0,1,2,3
2,22 August,H,1. FC Kaiserslautern,1 – 0,1,4,4
4,29 August,H,Dynamo Dresden,3 – 1,1,6,6
5,2 September,A,1. FC Köln,3 – 1,1,8,8
6,5 September,H,Hamburger SV,4 – 0,1,10,12
7,19 September,H,SG Wattenscheid 09,1 – 1,1,11,12
8,25 September,A,Borussia Dortmund,2 – 1,1,13,13
9,3 October,H,Borussia Mönchengladbach,2 – 2,1,14,13
10,17 October,A,1. FC Saarbrücken,1 – 1,1,15,13
11,24 October,H,Werder Bremen,1 – 3,1,15,11
3,27 October,A,Eintracht Frankfurt,1 – 1,1,16,11
12,31 October,A,VfB Stuttgart,3 – 2,1,18,12
