Rd,Pick,Player,Position,School,Unused_1,Irrelevant_2,Unused_3
1,1,Chuck Bednarik(Lottery bonus pick),Center,Pennsylvania,,mARNHX,
1,9,Frank Tripucka,Quarterback,Notre Dame,,ZPmrI,
2,19,Frank Burns,Back,Rutgers,,7QTM9JOE,
3,29,Frank Ziegler,Back,Georgia Tech,,PcxjR0,
4,41,Don Panciera,Back,San Francisco,,IxduB,
5,51,Terry Brennan,Back,Notre Dame,,yWZGMhD,
6,58,Warren Huey,End,Michigan State,,GOsVOiWM,
7,71,Frank Gillespie,Guard,Clemson,,Qq2OkY,
8,81,Bob Dean,Back,Cornell,,rOaBZmn,
9,91,Jonathan Jenkins,Tackle,Dartmouth,,ASa3M,
10,101,Roy Lester,End,West Virginia,,s56kexD,
11,111,Bobby Wilson,Back,Mississippi,,qhCRJ,
12,121,Dale Armstrong,End,Dartmouth,,dqD4c,
