Album / Name,Artist(s),Label,Role/Credit,Date,Chart#
Best of KAT-TUN,KAT-TUN,"Johnny's Entertainment, Japan","Songwriter, Lyricist","March 22, 2006","Gold Disc Award 2006 \Best 10 Albums of the Year\"""""
Farewell,Van Tomiko,"Avex Trax, Japan","Songwriter, Lyricist","March 29, 2006",Top 10 Oricon Japan Album Chart
Good Day!,V6 (Coming Century),"Johnny's Entertainment, Avex Trax, Japan",Songwriter,"June 14, 2006",#1 Oricon Single Chart / Gold
"NHK TV Japan Animation \Samurai 7\"" Opening Theme Song""",Coming Century,"Johnny's Entertainment, Avex Trax, Japan",Songwriter,June 2006,-
"Yeah! Album \Fly Away\""""",Park Jung Ah,"Star Empire / CJ Music, Korea",Publisher,"August 25, 2006",Top 5 Album Korea
Bokunopagewomekureba (僕の頁をめくれば),Park Yong Ha,"Pony Canyon, Japan","Songwriter, Lyricist","January 1, 2007",#2 Oricon Single Chart
Yong Ha's Melody,Park Yong Ha,"Pony Canyon, Japan",Songwriter,"March 21, 2007",Top 40 Oricon Japan Album Chart
Johnny's Jr. Odaiba Con 07,Johnny's Jr,"Johnny's Entertainment, Japan","Songwriter, Lyricist","July, 2007",-
"Live of KAT-TUN \Real Face\"" DVD""",KAT-TUN,"Johnny's Entertainment, Japan","Songwriter, Lyricist","April 11, 2007",#1 Oricon Japan DVD Chart / Platinum
Horizon,Field of view Yuya Asaoka,"Tokuma Communication, Japan",Songwriter,"April 25, 2007",
Johnny's Jr. Hey Say 07 in Yokohama Arena Con,Hey! Say! 7,"Johnny's Entertainment, Japan",Songwriter,"September, 2007",-
Dream Boys DVD,Kazuya Kamenashi & Koki Tanaka,"Johnny's Entertainment, Japan","Songwriter, Lyricist","February 27, 2008",#3 Oricon Japan DVD Chart
V-U-Densetsu IV,Biyuden,"Up-Front Works, Japan",Songwriter,"September 17, 2008",#6 Oricon Japan DVD Chart
