Album / Name,Artist(s),Label,Role/Credit,Date,Chart#
BOYS ARE BACK - Japan Premium,US5,"NBC Entertainment, Japan",Songwriter,"February 9, 2009",Top 20 Germany
"The 3rd Album - Sorry, Sorry",Super Junior,"SM Entertainment, Korea",Songwriter,"March 13, 2009",#1 Album of the Year
2009 Spring Concert Hey! Say! 7,Hey! Say! 7,"Johnny's Entertainment, Japan",Songwriter,"March, 2009",-
Break the Records - by you & for you,KAT-TUN,"Johnny's Entertainment, Japan",Songwriter,"April 29, 2009",#1 Oricon Japan Album Chart / Platinum
Hey! Say! JUMPTour '08-'09 DVD,Hey! Say! JUMP,"Johnny's Entertainment, Japan","Producer, Songwriter, Lyricist","April 29, 2009",#1 Oricon Japan DVD Chart / GOLD
PLAYZONE 2009 Musical,KIS-MY-FT2,"Johnny's Entertainment, Japan","Songwriter, Lyricist","July, 2009",-
Hey! Say! JUMP Summer Con Ten Goku,Hey! Say! JUMP,"Johnny's Entertainment, Japan","Songwriter, Lyricist","July, 2009",
"Wheesung 6th Album, Vocolate",Wheesung,"Popup Entertainment, Korea","Producer, Songwriter, Keyboard, Programmer","October 10, 2009",Top 5 Album Korea
"SS501 Mini Album, Rebirth",SS501,"DSP Entertainment, Korea",Album Producer,"October 20, 2009",#1 Korea Single Chart
"F(x) 1st Single, Chu~",F(x),"SM Entertainment, Korea",Publishing,"November 9, 2009",Top 5 Album Korea
Playzone 2009 DVD,Kis-my-ft2,"Johnny's Entertainment, Japan",Songwriter,"December 2, 2009",#1 Oricon Japan DVD Chart
Live Break the Records,KAT-TUN,"Johnny's Entertainment, Japan",Songwriter,"December 16, 2009",#1 Oricon Japan DVD Chart / GOLD
She Loves Me (Musical),Yabu Kota (Hey! Say! JUMP),"Johnny's Entertainment, Japan",Songwriter,"December 29, 2009",-
