Album / Name,Artist(s),Label,Role/Credit,Date,Chart#
Ultra Music Power,Hey! Say! JUMP,"Johnny's Entertainment, Japan",Songwriter,"November 14, 2007",#1 Oricon Japan Sincle Chart / Platinum
Ikinari in Tokyo Dome DVD,Hey! Say! JUMP,"Johnny's Entertainment, Japan",Songwriter,"April 30, 2008",#1 Oricon Japan DVD Chart / Gold
Hey! Say! JUMP Spring Con 08,Hey! Say! JUMP,"Johnny's Entertainment, Japan","Producer, Songwriter, Lyricist, Arranger, Engineer","February, 2008",-
One! History of Tackey Musical DVD,Hideaki Takizawa (Tackey & Tsubasa),"Johnny's Entertainment, Japan","Songwriter, Lyricist","January 23, 2008",#1 Oricon Japan DVD Chart
Queen of Pirates,KAT-TUN,"Johnny's Entertainment, Japan","Producer, Songwriter, Arranger, Engineer","April 30, 2008",#1 Oricon Japan Album Chart / Platinum
Summary of Johnny's World 2008,Hey! Say! JUMP,"Johnny's Entertainment, Japan","Producer, Songwriter, Lyricist, Engineer","June 30, 2008",-
Nanaseno hi (Day of Nanase),Aikawa Nanase,"Avex Trax, Japan",Songwriter,"July 7, 2008",-
Kansai Jr. Con 08,Johnny's Jr,"Johnny's Entertainment, Japan","Songwriter, Lyricist","August 20, 2008",-
First Concert of KIS-MY-FT2 & A.B.C.-Z in Yokohama Arena,Johnny's Jr,"Johnny's Entertainment, Japan",Songwriter,"September, 2008",-
Rainism,Rain,"J-Tune Entertainment, Korea",Audio Production Director,"October 15, 2008",#1 Album Korea
SS501 Special Album - U R Man,SS501,"DSP Entertainment, Korea","Lyricist, Vocal Director","November 24, 2008",#1 Album Korea
KAT-TUN Live Tour 2008 Queen of Pirates DVD,KAT-TUN,"Johnny's Entertainment, Japan","Producer, Songwriter, Arranger","January 1, 2009",#1 Oricon Japan DVD Chart / Gold
REBORN,Aikawa Nanase,"Avex Trax, Japan",Songwriter,"February 19, 2009",-
