Album / Name,Artist(s),Label,Role/Credit,Date,Chart#
Let It Go,Heo Young Saeng (허영생),"B2M Entertainment, Korea","Producer, Songwriter, Keyboards, Programming, Vocal Director","May 12, 2011",#1 Album Korea
Break Down,Kim Hyun Joong (김현중),"Keyeast, Korea","Producer, Songwriter, Keyboards, Guitar, Programming, Chorus, Vocal Director","June 8, 2011","#1 Korea Single/Album, Platinum Taiwan/#1 Japan Oricon International"
新春 滝沢革命 (Takizawa Revolution),Takizawa Hideaki,"Johnny's Entertainment, Japan","Producer, Songwriter, Composer, Keyboards, Programming","June 8, 2011",#1 Oricon DVD Japan
More Than A Game,Ian Thomas,Universal Belgium,Songwriter,"July, 2011",#8 Album Belgium
Everybody Go,Kis-My-Ft2,"Johnny's Entertainment, Japan","Songwriter, Producer, Keyboards, Programming","August 10, 2011",#1 Oricon Single Chart / Platinum
Symdrome (1st Single),Chocolat,"Paramount, Korea",Publishing,"August 17, 2011",-
1st Solo Story DVD,Heo Young Saeng (허영생),"B2M Entertainment, Korea","Songwriter, Producer, Keyboards, Programming, Vocal Director","September 28, 2011",-
Lucky,Kim Hyun Joong (김현중),"Keyeast, Korea","Producer, Songwriter, Keyboards, Programming, Vocal Director","October 11, 2011",#1 Korea Single/Album/ #1 Japan Oricon International
Kis-My-Ftに逢えるde Show vol.3,Kis-My-Ft2,"Johnny's Entertainment, Japan",Songwriter,"October 26, 2011",#2 Oricon Japan DVD Chart / Gold
Everybody Go at 横浜アリーナ,Kis-My-Ft2,"Johnny's Entertainment, Japan","Producer, Songwriter, Keyboards, Programming","October 26, 2011",#1 Oricon Japan DVD Chart / Gold
The Boys 3rd Album,"소녀시대, [Girl's Generation(少女時代)]","SM Entertainment, Korea",Publishing,"October 19, 2011","#1 Album Korea, #2 Album Japan"
The First,SHINee,EMI Japan,"Producer, Songwriter, Keyboard, Programming, Publishing","December 7, 2011","#4 Oricon Japan, GOLD"
The 1st Mini Album 'I Like It',Chocolat,"Paramount, Korea",Publishing,"December 15, 2011",-
