Album / Name,Artist(s),Label,Role/Credit,Date,Chart#
Marry Me / Marry You,Kim Hyun Joong (김현중),"Keyeast, Korea","Producer, Songwriterr, Keyboards, Programming, Director","December 15, 2011",-
Kiss Kiss / Lucky Guy (1st Japanese Single),Kim Hyun Joong (김현중),"Universal, Japan","Producer, Songwriter, Keyboards, Programming, Director","January 25, 2012","#2 Oricon Japan, GOLD"
J. Burney,ジェイ・バーニー,"Urbanville, Japan","Producer, Songwriter","Feb 25, 2012",iTunes Japan Top 30
Summary 2011 in Done,Hey! Say! JUMP,"Johnny's Entertainment, Japan","Producer, Songwriter, Keyboards, Programming","December 15, 2011",#1 Oricon DVD Japan
Deucer,イ・ジュンギ,"IMX, Japan","Producer, Songwriter, Keyboards, Programming, Mix, Mastering","March 16, 2012",Top10 Japan
Kis-My-1st,Kis-My-Ft2,"Johnny's Entertainment, Japan","Producer, Songwriter, Keyboards, Programming","March 28, 2012",#1 Oricon Japan Album Chart / Platinum
너밖에 몰라서 Digital Single,A-JAX,"DSP Entertainment, Korea","Producer, Songwriter, Keyboards, Programming, Vocal Director","May, 2012",Top 10 Korea
SOLO,Heo Young Saeng (허영생),"B2M Entertainment, Korea","Producer, Songwriter, Keyboards, Programming, Vocal Director","May 22, 2012",Top 5 Album Korea
ONE 4 U Digital Single,A-JAX,"DSP Entertainment, Korea","Producer, Songwriter, Keyboards, Programming, Vocal Director","June 1, 2012",-
Jump World,Hey! Say! JUMP,"Johnny's Entertainment, Japan","Producer, Songwriter, Keyboards, Programming","June 6, 2012",#1 Oricon Japan Album Chart / Gold
Kis-My-Mint,Kis-My-Ft2,"Johnny's Entertainment, Japan","Producer, Songwriter, Keyboards, Programming","June 26, 2012",#1 Oricon Japan DVD Chart / Gold
Kiss Kiss / Lucky Guy (1st Japanese Single),Kim Hyun Joong (김현중),"Universal, Japan","Producer, Songwriter, Keyboards, Programming","July 4, 2012","#1 Oricon Japan, GOLD"
