Album / Name,Artist(s),Label,Role/Credit,Date,Chart#
Coming Back! in Japan,イ・ジュンギ,"IMX, Japan","Producer, Songwriter, Keyboards, Programming","July 7, 2012",Top10 DVD Japan
Hot Game Digital Single,A-JAX,"DSP Entertainment, Korea","Producer, Songwriter, Vocal Director","July 12, 2012",Top 20 Korea
ABC-Z and Sexy Zone ~ Summary,Sexy Zone,"Johnny's Entertainment, Japan",Songwriter,"August 18, 2012",-
Overjoyed,Heo Young Saeng (허영생),"Pony Canyon, Japan","Producer, Songwriter, Keyboards, Programming","September 19, 2012",-
1st Japanese Album,B1A4,"Pony Canyon, Japan","Producer, Songwriter, Keyboards, Programming","October 24, 2012",Top5 Album Japan
2nd Japanese Single,A-JAX,"Universal, Japan","Producer, Songwriter","October 31, 2012",-
Jump World 2012,Hey! Say! JUMP,"Johnny's Entertainment, Japan","Producer, Songwriter, Keyboards, Programming","November 7, 2012",#1 Oricon Japan DVD Chart
1st Album one SEXY Zone,Sexy Zone,"Johnny's Entertainment, Japan",Songwriter,"November 14, 2012",#1 Oricon Japan Album Chart / Gold
"1st Mini Album \2MYX\""""",A-JAX,"DSP Entertainment, Korea","Producer, Songwriter, Keyboards, Programming","November 15, 2012",-
The First Tour DVD,SHINee,EMI Japan,"Producer, Songwriter, Keyboard, Programming, Publishing","December 12, 2012",-
Unlimited,Kim Hyun Joong,Universal Japan,"Producer, Songwriter, Keyboard, Programming","December 12, 2012",#3 Oricon Japan Album Chart / GOLD
1000年、ずっとそばにいて…,SHINee,EMI Japan,"Producer, Songwriter, Keyboard, Programming","December 12, 2012",#3 Oricon Japan Single Chart
