Album / Name,Artist(s),Label,Role/Credit,Date,Chart#
Neonlight Lipstick (Digital Single),Namie Amuro,"Avex, Japan","Producer, Songwriter, Keyboards & Programming","October 9, 2013",#1 Japan Single Download Chart
Jump Tour 2013 DVD,Hey! Say! JUMP,"Johnny's Entertainment, Japan","Producer, Songwriter, Keyboards & Programming","November 13, 2013",#1 Oricon Japan DVD Chart
1st Mini Album Kusabi,KAT-TUN,"Johnny's Entertainment, Japan","Producer, Songwriter, Keyboards & Programming","November 27, 2013",#1 Oricon Japan Album Chart / Gold
3rd Album Love & Peace,"소녀시대, [Girl's Generation(少女時代)]","Universal, Japan",Songwriter,"December 11, 2013",#1 Oricon Japan Album Chart / Gold
Tsuki,Namie Amuro,"Avex, Japan","Producer, Songwriter, Keyboards & Programming","January 29, 2014",#3 Oricon Japan Single Chart
Snow Dome no yakusoku DVD,Kis-My-Ft2,"Johnny's Entertainment, Japan","Producer, Songwriter, Keyboards, Programming","january 29, 2014",#1 Oricon Japan DVD Chart / Gold
Sexy Second,Sexy Zone,"Johnny's Entertainment, Japan",Songwriter,"Feb 19, 2014",#1 Oricon Japan Album Chart / Gold
Feel Tour DVD/Blu-ray,Namie Amuro,"Avex, Japan","Producer, Songwriter, Keyboards & Programming","Feb 26, 2014",#1 Oricon DVD/Blu-ray Chart / Gold
TVXQ (Tohoshinki),Tree,"Avex Trax, Japan","Producer, Songwriter","March 5, 2014",#2 World Chart / #1 Oricon Japan Album Chart / Platinum
Nakayama Yuma,High Five,"Johnny's Entertainment, Japan",Songwriter,"April 2, 2014",-
JAPAN ARENA TOUR SHINee WORLD 2013 ～Boys Meet U～ DVD,SHINee,EMI Japan,"Producer, Songwriter, Keyboard, Programming","April 2, 2014",-
Come On! Come On! (Digital Single),The United,"Farm Records, Japan","Producer, Songwriter, Keyboard, Programming, Mix","April 2, 2014",-
