Album / Name,Artist(s),Label,Role/Credit,Date,Chart#
Back to the Basic,Rain,"J-Tune Entertainment, Korea",Audio Production Director,"April 1, 2010",#1 Korea Album Chart
H-Logic,Lee Hyori,"M-Net Media, Korea",Publishing,"April 14, 2010",#1 Korea Album Chart
"SS501 Mini Album, Destination",SS501,"DSP Entertainment, Korea","Producer, Songwriter","May 24, 2010",#1 Korea Single Chart
No More Pain,KAT-TUN,"Johnny's Entertainment, Japan","Songwriter, Producer, Keyboard & Programming","June 16, 2010",#1 Oricon Japan Album Chart / Platinum
JUMP NO.1,Hey! Say! JUMP,"Johnny's Entertainment, Japan",Songwriter,"July 7, 2010",#1 Oricon Japan Album Chart / Platinum
The 2nd Album - Lucifer,SHINee,"SM Entertainment, Korea","Producer, Songwriter, Keyboard, Programming, Publishing","July 19, 2010",#1 Album Korea
Superstar (Digital Single),4Minute,"Mnet, Korea",Publishing,"July 19, 2010","Mnet TV \Superstar K\"" Theme song"""
Dekotomo DX TV CM,KAT-TUN,"Johnny's Entertainment, Japan","Songwriter, Producer, Keyboard & Programming",July 2010,Japanese cellphone「デコとも★DX」 TV commercial
훗 (Hoot) 3rd Mini Album,"소녀시대, [Girl's Generation(少女時代)]","SM Entertainment, Korea",Publishing,"October 27, 2010",#1 Album Korea
｢ありがとう｣～世界のどこにいても～,Hey! Say! JUMP,"Johnny's Entertainment, Japan","Producer, Songwriter, Keyboards, Programming","December 15, 2010",#1 Oricon Japan / Gold
No More Pain - World Big Tour DVD,KAT-TUN,"Johnny's Entertainment, Japan","Producer, Songwriter, Keyboard & Programming",December 2010,#1 Oricon Japan Album Chart / Gold
SUMMARY 2010 DVD,Hey! Say! JUMP,"Johnny's Entertainment, Japan",Songwriter,January 2011,#1 Oricon Japan DVD Chart
Rainbow the 2nd Mini Album,Rainbow,"DSP Entertainment, Korea","Producer, Songwriter, Vocal Director","April 7, 2011",Top 5 Album Korea
