Year,Film,Role,Language,Notes
2009,Arya 2,Geethanjali,Telugu,
2010,Om Shanti,Meghana,Telugu,
2010,Darling,Nandini,Telugu,Nominated- Filmfare Award for Best Actress – Telugu
2010,Naan Mahaan Alla,Priya Sudharsan,Tamil,
2010,Brindaavanam,Bhoomi,Telugu,CineMAA Award for Best Actress (Telugu)
2011,Mr. Perfect,Priya,Telugu,Nominated- Filmfare Award for Best Actress – Telugu
2011,Veera,Chitti,Telugu,
2011,Singham,Kavya Bhosle,Hindi,Nominated- Filmfare Award for Best Female Debut
2011,Dhada,Rhea,Telugu,
2012,Businessman,Chitra,Telugu,
2012,Maattrraan,Anjali,Tamil,
