Year,Film,Role,Language,Notes,Extra_Data_1,Filler_2
2004,Kyun! Ho Gaya Na...,Diya's sister,Hindi,,262,FrUfHmyv
2007,Lakshmi Kalyanam,Lakshmi,Telugu,,700,cpJOfA
2007,Chandamama,Mahalakshmi,Telugu,,6,leBpkKG
2008,Pourudu,Samyukhta,Telugu,,703,GfXHu
2008,Pazhani,Deepti,Tamil,,178,axrrMBd
2008,Aatadista,Sunnanda,Telugu,,985,TVZcm
2008,Saroja,Pooja,Tamil,Cameo appearance,988,ZFobTwf
2008,Bommalattam,Anitha,Tamil,,432,cOeRN
2009,Modhi Vilayadu,Easwari Lakshmiram,Tamil,,270,pmbjWGQ
2009,Magadheera,Yuvarani Mithravindha DeviIndira (Indu),Telugu,Dual roleNominated- Filmfare Award for Best Actress – Telugu,457,lDEdeLq
2009,Ganesh Just Ganesh,Divya,Telugu,,309,MTmhuF
