Name,Heightm (ft),Completed,Country,Location,Coordinates,Remarks,Dummy_Col_1
Cosmo Clock 21 (2nd installation),112.5 (369),1999,Japan,"Minato Mirai 21, Yokohama, Honshū",35°27′19″N 139°38′12″E﻿ / ﻿35.4553872°N 139.6367347°E,,ADfvrpYD
Tempozan Ferris Wheel,112.5 (369),1997,Japan,"Osaka, Honshū",34°39′22″N 135°25′52″E﻿ / ﻿34.6561657°N 135.431031°E,World's tallest 1997–1999,cdpnbBI
Harbin Ferris Wheel,110 (361),2003,China,"Harbin, Heilongjiang",45°46′40″N 126°39′48″E﻿ / ﻿45.7776481°N 126.6634637°E,Picture,JGbimEo
Shanghai Ferris Wheel,108 (354),2002,China,"Jinjiang Action Park, Shanghai",31°08′24″N 121°24′11″E﻿ / ﻿31.1401286°N 121.4030752°E,,lANhPsFr
Cosmo Clock 21 (1st installation),107.5 (353),1989,Japan,"Minato Mirai 21, Yokohama, Honshū",Unknown,World's tallest 1989–1997,BCfpfuGc
Space Eye,100 (328),Unknown,Japan,"Space World, Kitakyūshū, Kyūshū",33°52′18″N 130°48′36″E﻿ / ﻿33.8716939°N 130.8099014°E,Picture,oUYlyE
Grande Roue de Paris,100 (328),1900,France,"Champ de Mars, Paris",48°51′08″N 2°17′57″E﻿ / ﻿48.852222°N 2.299167°E,World's tallest 1900–1920,SktsgVU
Great Wheel,94 (308),1895,UK,"Earls Court, London",51°29′18″N 0°11′56″W﻿ / ﻿51.48835°N 0.19889°W,World's tallest 1895–1900,poqKHID
Aurora Wheel,90 (295),Unknown,Japan,"Nagashima Spa Land, Mie, Honshū",35°01′47″N 136°44′01″E﻿ / ﻿35.0298207°N 136.7336351°E,Picture,sdUav
Eurowheel,90 (295),1999,Italy,"Mirabilandia, Ravenna",44°20′21″N 12°15′44″E﻿ / ﻿44.3392161°N 12.2622228°E,,XVmgXpeL
Sky Wheel,88 (289),Unknown,Taiwan,"Janfusun Fancyworld, Gukeng",23°37′13″N 120°34′35″E﻿ / ﻿23.6202611°N 120.5763352°E,,UJKQaxlR
TechnostarTechnocosmos,85 (279),?1985,Japan,"Expoland, Osaka, Honshū (?-2009)Expo '85, Tsukuba, Honshū (1985-?)",34°48′14″N 135°32′09″E﻿ / ﻿34.803772°N 135.535916°E36°03′40″N 140°04′23″E﻿ / ﻿36.061203°N 140.073055°E,Technocosmos renamed/relocatedWorld's tallest extant 1985–1989,DMcfxAqc
The original Ferris Wheel,80.4 (264),1893,US,Chicago (1893–1903); St. Louis (1904–06),Ferris Wheel coordinates,World's tallest 1893–1894,PAlKD
