Name,Heightm (ft),Completed,Country,Location,Coordinates,Remarks
High Roller,168 (551),2014,US,"Las Vegas, Nevada",36°07′03″N 115°10′05″W﻿ / ﻿36.117402°N 115.168127°W,World's tallest since 2014
Singapore Flyer,165 (541),2008,Singapore,"Marina Centre, Downtown Core",1°17′22″N 103°51′48″E﻿ / ﻿1.289397°N 103.863231°E,World's tallest 2008-2014
Star of Nanchang,160 (525),2006,China,"Nanchang, Jiangxi",28°39′34″N 115°50′44″E﻿ / ﻿28.659332°N 115.845568°E,World's tallest 2006–2008
London Eye,135 (443),2000,UK,"South Bank, Lambeth, London",51°30′12″N 0°07′11″W﻿ / ﻿51.50334°N 0.1197821°W,World's tallest 2000–2006
Suzhou Ferris Wheel,120 (394),2009,China,"Suzhou, Jiangsu",31°18′59″N 120°42′30″E﻿ / ﻿31.3162939°N 120.7084501°E,
Melbourne Star,120 (394),2008,Australia,"Docklands, Melbourne",37°48′40″S 144°56′13″E﻿ / ﻿37.8110723°S 144.9368763°E,
Tianjin Eye,120 (394),2008,China,"Yongle Bridge, Tianjin",39°09′12″N 117°10′49″E﻿ / ﻿39.1533636°N 117.1802616°E,
Changsha Ferris Wheel,120 (394),2004,China,"Changsha, Hunan",28°10′56″N 112°58′48″E﻿ / ﻿28.1821772°N 112.9800886°E,
Zhengzhou Ferris Wheel,120 (394),2003,China,"Century Amusement Park, Henan",34°43′58″N 113°43′07″E﻿ / ﻿34.732871°N 113.718739°E,
Sky Dream Fukuoka,120 (394),2002,Japan,"Evergreen Marinoa, Fukuoka, Kyūshū",33°35′44″N 130°19′21″E﻿ / ﻿33.5956845°N 130.3225279°E,Closed September 2009
Diamond and Flower Ferris Wheel,117 (384),2001,Japan,"Kasai Rinkai Park, Tokyo, Honshū",35°38′38″N 139°51′26″E﻿ / ﻿35.6439052°N 139.8572257°E,
Star of Lake Tai [citation needed],115 (377),2008,China,"Lake Tai, Wuxi, Jiangsu",31°31′15″N 120°15′39″E﻿ / ﻿31.5208296°N 120.260945°E,Picture
Daikanransha,115 (377),1999,Japan,"Palette Town, Odaiba, Honshū",35°37′35″N 139°46′56″E﻿ / ﻿35.6263915°N 139.7822902°E,World's tallest 1999–2000
