Pos,No,Driver,Constructor,Laps,Time/Retired,Grid,Points
12,17,Paul Belmondo,March-Ilmor,61,+ 4 Laps,23,
Ret,21,JJ Lehto,Dallara-Ferrari,56,Spun Off,12,
Ret,15,Gabriele Tarquini,Fondmetal-Ford,56,Spun Off,18,
Ret,11,Mika Häkkinen,Lotus-Ford,56,Spun Off,21,
Ret,26,Érik Comas,Ligier-Renault,55,Spun Off,10,
Ret,29,Bertrand Gachot,Larrousse-Lamborghini,35,Engine,24,
Ret,3,Olivier Grouillard,Tyrrell-Ilmor,30,Spun Off,15,
Ret,24,Gianni Morbidelli,Minardi-Lamborghini,26,Handling,25,
Ret,33,Maurício Gugelmin,Jordan-Yamaha,24,Spun Off,17,
Ret,14,Andrea Chiesa,Fondmetal-Ford,22,Spun Off,20,
Ret,6,Riccardo Patrese,Williams-Renault,19,Spun Off,4,
