Pos,No,Driver,Constructor,Laps,Time/Retired,Grid,Points,Dummy_Col_1,Unused_2,Extra_Data_3
1,5,Nigel Mansell,Williams-Renault,65,1:56:10.674,1,10,YkMOEuA,,768
2,19,Michael Schumacher,Benetton-Ford,65,+ 23.914,2,6,mZNSO,,84
3,27,Jean Alesi,Ferrari,65,+ 26.462,8,4,LQZIgm,,293
4,2,Gerhard Berger,McLaren-Honda,65,+ 1:20.647,7,3,eCTmP,,241
5,9,Michele Alboreto,Footwork-Mugen-Honda,64,+ 1 Lap,16,2,IcXBuhSL,,901
6,22,Pierluigi Martini,Dallara-Ferrari,63,+ 2 Laps,13,1,RDrbIiAq,,831
7,10,Aguri Suzuki,Footwork-Mugen-Honda,63,+ 2 Laps,19,,jfPOue,,552
8,16,Karl Wendlinger,March-Ilmor,63,+ 2 Laps,9,,Fnzmi,,743
9,1,Ayrton Senna,McLaren-Honda,62,Spun Off,3,,YpQyFd,,327
10,28,Ivan Capelli,Ferrari,62,Spun Off,5,,GXtMV,,757
11,23,Christian Fittipaldi,Minardi-Lamborghini,61,+ 4 Laps,22,,GPwZcB,,725
