Pos,No,Driver,Constructor,Laps,Time/Retired,Grid,Points,Irrelevant_1
Ret,12,Johnny Herbert,Lotus-Ford,13,Spun Off,26,,SznCVWD
Ret,25,Thierry Boutsen,Ligier-Renault,11,Engine,14,,o7ZmoiQ
Ret,20,Martin Brundle,Benetton-Ford,4,Spun Off,6,,zmU2bDWN
Ret,4,Andrea de Cesaris,Tyrrell-Ilmor,2,Engine,11,,cRf5uNt
DNQ,30,Ukyo Katayama,Larrousse-Lamborghini,,,,,pXzAvpP
DNQ,7,Eric van de Poele,Brabham-Judd,,,,,lskEX
DNQ,32,Stefano Modena,Jordan-Yamaha,,,,,bhyZYE2R
DNQ,8,Damon Hill,Brabham-Judd,,,,,0ne7Om
DNPQ,34,Roberto Moreno,Moda-Judd,,,,,FerDmSr
DNPQ,35,Perry McCarthy,Moda-Judd,,,,,r63km7o
