Transmitter,kW,BBCA,BBCB,D3&4,SDN,ARQA,ARQB,Pol.,A.G.
Humshaugh,0.0118,39,45,42,N/A,N/A,N/A,V,B E K
Ireshopeburn,0.0022,55,59,50,N/A,N/A,N/A,V,C/D E
Kielder,0.0054,26,23,29,N/A,N/A,N/A,V,A K
Morpeth,0.0088,22,28,25,N/A,N/A,N/A,V,A K
Newton,0.4,26,23,29,N/A,N/A,N/A,V,A K
Seaham,0.059,44,47,46,N/A,N/A,N/A,V,B E K
Shotleyfield,0.04,22,28,25,N/A,N/A,N/A,V,A K
Staithes,0.002,52,51,48,N/A,N/A,N/A,V,B C/D E
Sunderland,0.006,52,51,48,N/A,N/A,N/A,V,B C/D E
Wall,0.0042,52,51,48,N/A,N/A,N/A,H,B C/D E
Weardale,0.2,44,41,47,N/A,N/A,N/A,V,B E K
Whitaside,0.0025,44,41,47,N/A,N/A,N/A,V,B E K
