City,County(ies),Population(2000 Census),Population(2010 Census),Class,Incorporationdate,Extra_Data_1
Nekoosa,Wood,"2,590","2,580",4th,1926,244
New Berlin,Waukesha,"38,220","39,584",3rd,1959,712
New Holstein,Calumet,"3,301","3,236",4th,1889,987
New Lisbon,Juneau,"1,436","2,554",4th,1889,491
New London,OutagamieWaupaca,"7,085","7,295",4th,1877,187
New Richmond,St. Croix,"6,310","8,375",4th,1885,73
Niagara,Marinette,"1,880","1,624",4th,1992,225
Oak Creek,Milwaukee,"28,456","34,451",3rd,1955,991
Oconomowoc,Waukesha,"12,382","15,712",3rd,1875,737
Oconto,Oconto,"4,708","4,513",4th,1869,749
Oconto Falls,Oconto,"2,843","2,891",4th,1919,912
Omro,Winnebago,"3,177","3,517",4th,1944,994
Onalaska,La Crosse,"14,839","17,736",4th,1887,151
Oshkosh,Winnebago,"62,916","66,083",2nd,1853,746
Osseo,Trempealeau,"1,669","1,701",4th,1941,348
Owen,Clark,936,940,4th,1925,557
Park Falls,Price,"2,739","2,462",4th,1912,403
Peshtigo,Marinette,"3,474","3,502",4th,1903,978
Pewaukee,Waukesha,"11,783","13,195",3rd,1999,241
