City,County(ies),Population(2000 Census),Population(2010 Census),Class,Incorporationdate
Abbotsford,ClarkMarathon,"1,956","2,310",4th,1965
Adams,Adams,"1,831","1,967",4th,1926
Algoma,Kewaunee,"3,357","3,167",4th,1879
Alma,Buffalo,942,781,4th,1885
Altoona,Eau Claire,"6,698","6,706",4th,1887
Amery,Polk,"2,845","2,902",4th,1919
Antigo,Langlade,"8,560","8,234",4th,1885
Appleton,CalumetOutagamieWinnebago,"70,087","72,623",2nd,1857
Arcadia,Trempealeau,"2,402","2,925",4th,1925
Ashland,AshlandBayfield,"8,620","8,216",4th,1887
Augusta,Eau Claire,"1,460","1,550",4th,1885
Baraboo,Sauk,"10,711","12,048",3rd,1882
Barron,Barron,"3,248","3,423",4th,1887
Bayfield,Bayfield,611,487,4th,1913
Beaver Dam,Dodge,"15,169","16,243",4th,1856
Beloit,Rock,"35,775","36,966",3rd,1857
Berlin,Green LakeWaushara,"5,305","5,524",4th,1857
Black River Falls,Jackson,"3,618","3,622",4th,1883
Blair,Trempealeau,"1,273","1,366",4th,1949
