City,County(ies),Population(2000 Census),Population(2010 Census),Class,Incorporationdate
Bloomer,Chippewa,"3,347","3,539",4th,1920
Boscobel,Grant,"3,047","3,231",4th,1873
Brillion,Calumet,"2,937","3,148",4th,1944
Brodhead,GreenRock,"3,180","3,293",4th,1891
Brookfield,Waukesha,"38,649","37,920",2nd,1954
Buffalo City,Buffalo,"1,040","1,023",4th,1859
Burlington,RacineWalworth,"9,936","10,464",4th,1900
Cedarburg,Ozaukee,"11,102","11,412",3rd,1885
Chetek,Barron,"2,180","2,221",4th,1891
Chilton,Calumet,"3,708","3,933",4th,1877
Chippewa Falls,Chippewa,"12,900","13,679",3rd,1840
Clintonville,Waupaca,"4,736","4,559",4th,1887
Colby,ClarkMarathon,"1,616","1,852",4th,1891
Columbus,ColumbiaDodge,"4,479","4,991",4th,1874
Cornell,Chippewa,"1,466","1,467",4th,1956
Crandon,Forest,"1,961","1,920",4th,1898
Cuba City,GrantLafayette,"2,156","2,086",4th,1925
Cudahy,Milwaukee,"18,429","18,267",3rd,1906
Cumberland,Barron,"2,280","2,170",4th,1885
