City,County(ies),Population(2000 Census),Population(2010 Census),Class,Incorporationdate
Darlington,Lafayette,"2,418","2,451",4th,1877
Delafield,Waukesha,"6,472","7,085",4th,1959
Delavan,Walworth,"7,956","8,463",4th,1897
De Pere,Brown,"20,559","23,800",3rd,1883
Dodgeville,Iowa,"4,220","4,698",4th,1889
Durand,Pepin,"1,968","1,931",4th,1887
Eagle River,Vilas,"1,443","1,398",4th,1937
Eau Claire,ChippewaEau Claire,"61,704","65,883",2nd,1872
Edgerton,DaneRock,"4,898","5,461",4th,1883
Elkhorn,Walworth,"7,305","10,084",4th,1897
Elroy,Juneau,"1,578","1,442",4th,1885
Evansville,Rock,"4,039","5,012",4th,1896
Fennimore,Grant,"2,387","2,497",4th,1919
Fitchburg,Dane,"20,501","25,260",4th,1983
Fond du Lac,Fond du Lac,"42,203","43,021",2nd,1852
Fort Atkinson,Jefferson,"11,621","12,368",4th,1878
Fountain City,Buffalo,983,859,4th,1889
Fox Lake,Dodge,"1,454","1,519",4th,1938
Franklin,Milwaukee,"29,494","35,451",3rd,1956
