City,County(ies),Population(2000 Census),Population(2010 Census),Class,Incorporationdate
Verona,Dane,"7,052","10,619",4th,1977
Viroqua,Vernon,"4,335","5,079",4th,1885
Washburn,Bayfield,"2,280","2,117",4th,1904
Waterloo,Jefferson,"3,259","3,333",4th,1962
Watertown,DodgeJefferson,"21,598","23,861",3rd,1853
Waukesha,Waukesha,"64,825","70,718",2nd,1895
Waupaca,Waupaca,"5,676","6,069",4th,1878
Waupun,DodgeFond du Lac,"10,944","11,340",4th,1878
Wausau,Marathon,"38,426","39,106",3rd,1872
Wautoma,Waushara,"1,998","2,218",4th,1901
Wauwatosa,Milwaukee,"47,271","46,396",2nd,1897
West Allis,Milwaukee,"61,254","60,411",2nd,1906
West Bend,Washington,"28,152","31,078",3rd,1885
Westby,Vernon,"2,045","2,200",4th,1920
Weyauwega,Waupaca,"1,806","1,900",4th,1939
Whitehall,Trempealeau,"1,651","1,558",4th,1941
Whitewater,JeffersonWalworth,"13,437","14,390",4th,1885
Wisconsin Dells,AdamsColumbiaJuneauSauk,"2,418","2,678",4th,1925
Wisconsin Rapids,Wood,"18,435","18,367",3rd,1869
