City,County(ies),Population(2000 Census),Population(2010 Census),Class,Incorporationdate
Kenosha,Kenosha,"90,352","99,218",2nd,1850
Kewaunee,Kewaunee,"2,806","2,952",4th,1883
Kiel,CalumetManitowoc,"3,450","3,738",4th,1920
La Crosse,La Crosse,"51,818","51,320",2nd,1856
Ladysmith,Rusk,"3,932","3,414",4th,1905
Lake Geneva,Walworth,"7,148","7,651",4th,1883
Lake Mills,Jefferson,"4,843","5,708",4th,1905
Lancaster,Grant,"4,070","3,868",4th,1878
Lodi,Columbia,"2,882","3,050",4th,1941
Loyal,Clark,"1,308","1,261",4th,1948
Madison,Dane,"208,054","233,209",2nd,1856
Manawa,Waupaca,"1,330","1,371",4th,1954
Manitowoc,Manitowoc,"34,053","33,736",3rd,1870
Marinette,Marinette,"11,749","10,968",3rd,1887
Marion,ShawanoWaupaca,"1,297","1,260",4th,1898
Markesan,Green Lake,"1,396","1,476",4th,1959
Marshfield,MarathonWood,"18,800","19,118",3rd,1883
Mauston,Juneau,"3,740","4,423",4th,1883
Mayville,Dodge,"4,902","5,154",4th,1885
