City,County(ies),Population(2000 Census),Population(2010 Census),Class,Incorporationdate,Filler_1,Dummy_Col_2
Medford,Taylor,"4,350","4,326",4th,1889,hDutSfU,BMKbkt
Mellen,Ashland,845,731,4th,1907,qLUrx,EbXtyz
Menasha,CalumetWinnebago,"16,331","17,353",3rd,1874,fLNKQYQ,nQWwkRYg
Menomonie,Dunn,"14,937","16,264",4th,1882,hwwUa,JEpzTl
Mequon,Ozaukee,"22,643","23,132",4th,1957,FssHl,trkxDmUE
Merrill,Lincoln,"10,146","9,661",4th,1883,qIRVBPx,pQjNxg
Middleton,Dane,"15,770","17,442",3rd,1963,cbZYH,YVSTLQDU
Milton,Rock,"5,132","5,546",4th,1969,LRYXb,GJihQu
Milwaukee,MilwaukeeWashingtonWaukesha,"596,974","594,833",1st,1846,FFlxoL,YfdPlQ
Mineral Point,Iowa,"2,617","2,487",4th,1857,fQAJX,RPNzkHV
Mondovi,Buffalo,"2,634","2,777",4th,1889,SJkUUA,MQXBzNeH
Monona,Dane,"8,018","7,533",4th,1969,PnhhhWd,bFSmUB
Monroe,Green,"10,843","10,827",4th,1882,LlPfdpgg,iswySGm
Montello,Marquette,"1,397","1,495",4th,1938,QDBkGV,UcbiPR
Montreal,Iron,838,807,4th,1924,vvuBxSsR,JmYBmTvZ
Mosinee,Marathon,"4,063","3,988",4th,1931,SIbpp,mQmwZU
Muskego,Waukesha,"21,397","24,135",3rd,1964,bXdvYUH,MBnwSizE
Neenah,Winnebago,"24,507","25,501",3rd,1873,AcGbUN,KmIDRr
Neillsville,Clark,"2,731","2,463",4th,1882,HSDELtgP,yUdJU
