City,County(ies),Population(2000 Census),Population(2010 Census),Class,Incorporationdate
Phillips,Price,"1,675","1,478",4th,1891
Pittsville,Wood,866,874,4th,1887
Platteville,Grant,"9,989","11,224",4th,1876
Plymouth,Sheboygan,"7,781","8,445",4th,1877
Port Washington,Ozaukee,"10,467","11,250",4th,1882
Portage,Columbia,"9,728","10,324",4th,1854
Prairie du Chien,Crawford,"6,018","5,911",4th,1872
Prescott,Pierce,"3,764","4,258",4th,1857
Princeton,Green Lake,"1,504","1,214",4th,1920
Racine,Racine,"81,855","78,860",2nd,1848
Reedsburg,Sauk,"7,827","10,014",4th,1887
Rhinelander,Oneida,"7,735","7,798",4th,1894
Rice Lake,Barron,"8,312","8,438",4th,1887
Richland Center,Richland,"5,114","5,184",4th,1887
Ripon,Fond du Lac,"7,450","7,733",4th,1858
River Falls,PierceSt. Croix,"12,560","15,000",3rd,1875
St. Croix Falls,Polk,"2,033","2,133",4th,1958
St. Francis,Milwaukee,"8,662","9,365",4th,1951
Schofield,Marathon,"2,117","2,169",4th,1951
