City,County(ies),Population(2000 Census),Population(2010 Census),Class,Incorporationdate
Seymour,Outagamie,"3,335","3,451",4th,1879
Shawano,Shawano,"8,298","9,305",4th,1874
Sheboygan,Sheboygan,"50,792","49,288",2nd,1853
Sheboygan Falls,Sheboygan,"6,772","7,775",4th,1913
Shell Lake,Washburn,"1,309","1,347",4th,1961
Shullsburg,Lafayette,"1,246","1,226",4th,1889
South Milwaukee,Milwaukee,"21,256","21,156",4th,1897
Sparta,Monroe,"8,648","9,522",4th,1883
Spooner,Washburn,"2,653","2,682",4th,1909
Stanley,ChippewaClark,"1,898","3,608",4th,1898
Stevens Point,Portage,"24,551","26,717",3rd,1858
Stoughton,Dane,"12,354","12,611",4th,1882
Sturgeon Bay,Door,"9,437","9,144",4th,1883
Sun Prairie,Dane,"20,369","29,364",3rd,1958
Superior,Douglas,"27,368","27,244",2nd,1858
Thorp,Clark,"1,536","1,621",4th,1948
Tomah,Monroe,"8,419","9,093",4th,1883
Tomahawk,Lincoln,"3,770","3,397",4th,1891
Two Rivers,Manitowoc,"12,639","11,712",3rd,1878
