Release date,Single title,UK Singles Chartposition,FrenchCharts,GermanCharts,IrishCharts,Various,Noise_Field_1
May 1981,"\Love Trial\""""",51,-,75,-,-,XxvoNA
August 1981,"\Don't Stop Your Love\""""",-,-,-,-,-,jXQpOs
January 1982,"\I Need Your Love\""""",-,-,-,-,-,gSedUaQQ
April 1982,"\I Feel Love Comin' On\""""",-,-,-,-,-,KUDBlqPB
July 1982,"\Love's Got a Hold on You\""""",-,-,-,-,-,RsCKhXb
October 1982,"\Don't Take Your Love to Hollywood\""""",-,-,-,-,-,GvAnv
September 1983,"\Silent Treatment\""""",-,-,-,-,-,jGTceh
July 1984,"\Break Out\""""",90,-,-,-,-,aqzqwVPi
October 1984,"\I'm On Fire\""""",-,-,-,-,-,JvMsckC
September 1986,"\Feels Like I'm in Love '86\""""",-,-,-,-,-,AmfiYu
1988,"\Stealing My Time\""""",-,-,-,-,#2 (Denmark),SMNNiMd
1988,"\Halfway To Paradise\""""",-,-,-,-,-,JKbna
1998,"\I'm In The Mood For Dancing\""""",-,-,-,-,-,CSbEbLo
February 2001,"\Hot Love 2001\""""",-,-,-,-,-,wzwImC
