Yacht,Nation,Owner,Skipper,Launch year,Extra_Data_1,Noise_Field_2
Getaway Sailing 2,(VIC),Peter Tarimo,Jay Pettifer,2000,603,LpPocD
Global Yacht Racing - Kioni,(NSW),Kioni Sailing Services P/L,Richard Falk,2001,201,PrNaVAU
Goldfinger,(VIC),Peter Blake & Kate Mitchell,Peter Blake,2002,43,OAMQvx
Helsal IV,(TAS),Tony Fisher,Rob Fisher,1986,532,HCSeX
Huckleberry,(WA),Steve Humphries,Steve Humphries,1982,540,NHVZn
Hugo Boss II,,Alex Thomson Racing,Ross Daniel,2001,235,QOajR
Iataia,,Marcos Rodriguez,Marc Rosenfeld,2004,444,BBuKk
Ichi Ban,(NSW),Matt Allen,Matt Allen,2005,756,Xkizj
IMAREX,(NSW),Marc & Louis Ryckmans,Ola Strand Andersen,2000,457,hjplhAoH
Impeccable,(NSW),John Walker,John Walker,1980,685,TYnvcWvL
