Yacht,Nation,Owner,Skipper,Launch year,Noise_Field_1
City Index Leopard,,Mike Slade,Mike Slade,2007,ETDdbO
Cougar II,(VIC),Alan Whiteley,Alan Whiteley,2005,xtQrNzf
Decosolmarine Sailplane,,Decosol Marine,John Danby/Robert Bottomley,1999,DFliwC
Dehler Magic,(QLD),Greg Tobin/Charlie Preen,Greg Tobin/Charlie Preen,2000,vcmPBO
DHL - The Daily Telegraph,(NSW),Kookaburra Challenge P/L,Mitch Booth,1997,TCVOMlm
Eleni,(NSW),Tony Levett,Tony Levett,2003,idWGlDix
Endorfin,(NSW),Peter Mooney,Peter Mooney,2006,dcgmDR
First Light,(NSW),Nicolas Ewald & Susan Rice,Nicolas Ewald,1981,UYyeJNz
Flying Fish - Arctos,(NSW),Flying Fish Properties,Andy Fairclough/James Dobie,2001,TpLkYBQ
George Gregan Foundation,(NSW),Peter Goldsworthy,David Witt,2001,wDptdjch
Georgia,(VIC),John Williams/Graeme Ainley,John Williams,2000,eucuEO
