Yacht,Nation,Owner,Skipper,Launch year
Namadgi,(ACT),Canberra Ocean Racing Club,Rick Scott-Murphy,2003
Noonmark VI,,Sir Geoffrey Mulcahy,Mike Gilburt,1998
Palandri Wines Minds Eye,(WA),Brad Skeggs,Brad Skeggs,2006
Papillon,(NSW),Phil Molony,Phil Molony,2005
Patrice Six,(NSW),Adrian Dunphy,Adrian Dunphy/ Tony Kirby,
Phillip's Foote Witchdoctor,(NSW),The Rum Consortium,Maurie Cameron,1979
Pirelli,(NSW),Martin James,Les Goodridge,1989
Pisces,(TAS),David Taylor,David Taylor,1998
Pretty Fly II,(NSW),Colin Woods,Colin Woods,2003
Pretty Woman,(NSW),R. Hudson/M. Lockley/R. Murphy,Richard Hudson,1996
