Yacht,Nation,Owner,Skipper,Launch year
Inner Circle,(NSW),Ken Robinson/Darren Cooney,Ken Robinson,1987
Jazz,,Chris Bull,Chris Bull,2003
Knee Deep,(WA),Philip Childs/Frank Van Ruth,Philip Childs,1999
Krakatoa II,(NSW),Rod Skellet,Rod Skellet,2006
Limit,(WA),Alan Brierty,Roger Hickman,2002
Living Doll,(VIC),Michael Hiatt,Michael Hiatt,2005
Matangi,(TAS),David Stephenson,David Stephenson,1989
Morna,(NSW),Greg Zyner,Greg Zyner,1995
Mr Beaks Ribs,(NSW),David Beak,David Beak,2004
Mr Kite,(NSW),Andrew Buckland/Andrew Hunn,Andrew Buckland/Andrew Hunn,2005
