Yacht,Nation,Owner,Skipper,Launch year
Quantum Racing,(NSW),Ray Roberts,Ray Roberts,2007
Quetzalcoatl,(NSW),Bruce/Hampshire/Lee-Warner/Sweetapple,Antony Sweetapple,2001
Ragamuffin,(NSW),Syd Fischer,Syd Fischer,2004
Rosebud,,Roger Sturgeon,Roger Sturgeon,2007
Rush,(VIC),Ian and John Paterson,John Paterson,1997
Sailors With disABILITIES,(NSW),David Pescud,David Pescud/John Hearne,2000
Salona,(NSW),Phillip King,Phillip King,2006
Scarlet Runner,(VIC),Robert Date,Robert Date,2001
Secret Men's Business #1,(NSW),SMB Syndicate,Ross Trembath/R Curtis,1996
Sextant,(NSW),Denis Doyle,Denis Doyle,1999
