Yacht,Nation,Owner,Skipper,Launch year
She,(NSW),Peter Rodgers,Peter Rodgers,1981
Sheridan Road Rail (Tartan),(NSW),Ian Sanford,Ian Sanford,1984
Shogun,(VIC),Rob Hanna,Rob Hanna,2007
Skandia,(VIC),Grant Wharington,Grant Wharington,2003
Spirit of Koomooloo,(QLD),Mike Freebairn,Mike Freebairn,1968
Splash Gordon,(QLD),Stephen Ellis,Stephen Ellis,1998
Stormy Petrel,(NSW),Kevin O'Shea,Kevin O'Shea,1970
Swan Song,(NSW),Geoffrey Hill,Geoffrey Hill,2000
Swish,(NSW),Steven Proud,Steven Proud,2001
The Bigger Picture,(NSW),Mike Roberts/Anthony Hooper,Ian Douglas,2002
