Yacht,Nation,Owner,Skipper,Launch year
The Goat,(NSW),Foye/Gordon,Bruce Foye,2003
Toyota Aurion,(NSW),Andrew Short,Andrew Short,1993
True North,(SA),Andrew Saies,Andrew Saies,2000
Wedgetail,(QLD),Bill Wild,Bill Wild,2005
Wild Oats XI,(NSW),Bob Oatley,Mark Richards,2005
Wot Yot,(NSW),Graeme Wood,Graeme Wood,2000
Wot's Next,(NSW),Graeme Wood,Bill Sykes,2005
Yendys,(NSW),Geoff Ross,Geoff Ross,2006
Zen,(NSW),Gordon Ketelbey,Gordon Ketelbey,2004
Zephyr,(NSW),James Connell & Alex Brandon,James Connell,1984
