No.,Name,Took Office,Left Office,President served under,Notable for
1,"Harvey Washington Wiley, M.D.","January 1, 1907","March 15, 1912","Theodore Roosevelt, William Howard Taft",Chemist; advocacy of the passage of the Pure Food and Drug Act in 1906; subsequent work at Good Housekeeping Institute laboratories
2,Carl L. Alsberg M.D.,"December 16, 1912","July 15, 1921","William Howard Taft, Woodrow Wilson, Warren G. Harding",
3,Walter Gilbert Campbell,7/16/1921,6/30/1924,"Warren G. Harding, Calvin Coolidge",
4,"Charles Albert Browne, Jr.",7/1/1924,6/30/1927,Calvin Coolidge,
3,Walter Gilbert Campbell,7/1/1927,4/30/1944,"Calvin Coolidge, Herbert Hoover, Franklin D. Roosevelt",
5,"Paul B. Dunbar, Ph.D.",5/6/1944,5/31/1951,"Franklin D. Roosevelt, Harry S Truman",
6,Charles W. Crawford,6/1/1951,7/31/1954,"Harry S Truman, Dwight D. Eisenhower",
7,George P. Larrick,8/12/1954,12/27/1965,"Dwight D. Eisenhower, John F. Kennedy, Lyndon B. Johnson",
8,"James Lee Goddard, M.D.",1/17/1966,7/1/1968,Lyndon B. Johnson,
9,"Herbert Leonard Ley, Jr., M.D.",7/1/1968,12/12/1969,"Lyndon B. Johnson, Richard M. Nixon",
10,"Charles C. Edwards, M.D.",12/13/1969,3/15/1973,Richard M. Nixon,
