No.,Name,Took Office,Left Office,President served under,Notable for,Noise_Field_1
11,"Alexander Mackay Schmidt, M.D.",7/20/1973,11/30/1976,"Richard M. Nixon, Gerald R. Ford",,jhxWm
12,"Donald Kennedy, Ph.D.",4/4/1977,6/30/1979,Jimmy Carter,,LYdwER
13,"Jere Edwin Goyan, Ph.D.",10/21/1979,1/20/1981,Jimmy Carter,,DzMwLe
14,"Arthur Hull Hayes Jr., M.D.",4/13/1981,9/11/1983,Ronald Reagan,,GUgUfQTx
15,"Frank Edward Young, M.D., Ph.D.",7/15/1984,12/17/1989,Ronald Reagan,,YLchq
16,"David Aaron Kessler, M.D.",11/8/1990,2/28/1997,George H. W. BushBill Clinton,,QfelT
17,"Jane Ellen Henney, M.D.",1/17/99,1/19/2001,Bill Clinton,,jiLmaiiJ
18,"Mark Barr McClellan, M.D., Ph.D",11/14/2002,3/26/2004,George W. Bush,,iKlguD
19,"Lester Mills Crawford, D.V.M., Ph.D.",7/18/2005,9/23/2005,George W. Bush,Charged with conflict of interest and lying about stock he and his wife owned in companies regulated by FDA.,KjWVxzb
20,"Andrew C. von Eschenbach, M.D.",12/13/2006,1/20/2009,George W. Bush,"Member of the board of directors of BioTime (NYSE MKT: BTX), a biotechnology and regenerative medicine company.",kgwPMYK
21,"Margaret A. Hamburg, M.D.",5/22/2009,present,Barack Obama,,atFbDHO
