Year,Location,Attendance,Theme phrase,Top messages,Host,Opening General Session guest(s),Closing General Session guest(s),Sunday night reception,Wednesday night party,CULT shirt,Filler_1
1993,Orlando,2300,Working Together,,Don Bulens,Geoffrey Moore,,,Disney-MGM,,henFZGR
1994,No Event,,,,,,,,,,EnVuB
1995,Orlando,,The Right Event. The Right Solutions. Right Now.,,,,,,Disney-MGM,,zdGLqv
1996,Orlando,,Release The Power,Notes R4Work the Web,,None,Cirque du Soleil,,Universal Studios FloridaThe Neville Brothers,,mNnmer
1997,"Nice, France",,Pool of Knowledge,"Don't compete with, embrace the Web.iNotes Web PublisherDomino",Ray Ozzie,Avery Brooks,,,Magic KingdomThe Doobie Brothers,,FnkCa
1998,Orlando,,Cultivate Your Senses,Notes R5,Steve Beckhardt (?),Jamie ClarkAlan Hobson,Bill Nye,,"Disney-MGMEarth, Wind & Fire",,AVdeolq
1999,Orlando,,LOTUS: A Part of Every Solution,Notes R5Knowledge Management,Jeff Papows,Jim LovellGene Krantz,Marc Salem,,SeaWorldThe Pointer Sisters,,tYogAM
2000,Orlando,10000,Looking Forward/Forward Looking,RavenDomino Access for Microsoft Outlook,Jeff Papows > Al Zollar,Walter Cronkite,The Raspyni Brothers,,Universal's Islands of AdventureChicago,Notes World Order,ApdjuR
2001,Orlando,10000,In The Know,Lotus K-StationLotus Discovery Server,Al Zollar,Al FrankenFrancis Ford Coppola,Umbilical Brothers,,Disney's Wide World of Sports ComplexBrian Setzer Orchestra,Domino Survivor,qafwnM
2002,Orlando,6000,Proof Positive,"Notes/Domino 6\Lotus Software\"" brand",,,,,,,FjiZWADc
J2EE,,,,,,,,,,,jdcVDw
"\""two-lane highway\""""",Al Zollar,Ben Stein,Kevin Nealon,,Disney-MGM,Fellowship of the Domino Ring,,,,,yrREOT
2003,Orlando,,The Essential Human Element,NextGenDB2,Al Zollar > Ambuj Goyal,Rudy GiulianiBounce (dancers),Dr. Ronan Tynan,,Magic Kingdom,Just-Us League & Collaboration League,xPmnifu
