Name,Location,City,Listing date,Unused_1,Dummy_Col_2
First Baptist Church,308 South Fourth Street,St. Clair,"September 26, 1987",,soKgOhVT
Fort Gratiot†,520 State Street,Port Huron,"February 18, 1956",,OYqOJ
Fort Gratiot Lighthouse†,Omar and Garfield streets,Port Huron,"April 23, 1971",,AtDoYAgz
Fort Sinclair (20SC58),South of the mouth of the Pine River on the St. Clair River,St. Clair,"February 17, 1965",,lUOHFw
Fort St. Joseph,"Gratiot Park on M-25 (Gratiot Avenue) and Forest Street, under the Bluewater Bridge",Port Huron,"August 23, 1956",,onKVjRpJ
Grace Episcopal Church,1213 Sixth Street,Port Huron,"April 18, 1991",,SCwcix
Grand Trunk Western Railroad Depot†,520 State Street,Port Huron,"September 2, 1966",,uhZLs
Gratiot Park United Methodist Church,2503 Cherry Street,Port Huron,"March 10, 1988",,CHutcy
Graziadei-Casello Building,307 Huron Avenue,Port Huron,"November 16, 1995",,znpBnHAo
Harrington Hotel†,"1026 Military, between Pine and Wall Streets",Port Huron,"November 16, 1981",,illEruJ
Harsen Home,2006 Golf Course Road,Harsens Island,"February 7, 1977",,rMVodKMc
