Name,Location,City,Listing date,Unused_1,Random_Column_2
Algonac City Hall (Demolished),1410 St. Clair River Drive,Algonac,"February 7, 1977",,LJGC8uhL
Almont New Church (Swedenborgian),Northeast corner of Cameron and Tubspring roads,Allenton vicinity,"March 28, 1985",,8n5rDn
America's Water Speed Supremacy Commemorative Designation,City of Algonac Park,Algonac,"January 8, 1981",,fNc5Y7f
Dr. Walter Bostwick House,1240 St. Clair River Drive,Algonac,"August 3, 1979",,B1t8Oj7B
Catholic Pointe,"618 South Water Street, SE corner of Bridge Street",Marine City,"August 12, 1977",,vBrzm
Cole Class - West Brockway Methodist Church Informational Designation,"7015 Carson Road, NE corner of Wilkes Road",Yale vicinity,"June 30, 1988",,kaZS3Pb
Colony Tower,6503 Dyke Road (M-29),Clay Township,"April 21, 1980",,4ojhT
Congregational Church,300 Adams St,St. Clair,"August 3, 1979",,0aZnjA
James A. Davidson House,1229 Seventh Street,Port Huron,"September 21, 1983",,BeD1FDv
Wilbur F. Davidson House†,1707 Military Street,Port Huron,"May 17, 1973",,2AaKJdh
East China Fractional District No. 2 School,696 Meisner Road,Marine City,"July 18, 1991",,wGyNYb8
First Baptist Church (Demolished),Erie Square,Port Huron,"August 13, 1971",,kCbizQ
