Name,Location,City,Listing date,Random_Column_1,Random_Column_2,Extra_Data_3
Ladies of the Maccabees Building†,901 Huron Avenue,Port Huron,"November 16, 1982",NjJtiuU,u4KGAGD,518
Lightship No. 103‡,Pine Grove Park,Port Huron,"May 17, 1973",iecsW,suDRhyYo,688
Marine City City Hall†,300 Broadway Street,Marine City,"August 6, 1976",qbbvuX9,znKndz,305
James McColl House†,205 South Main Street,Yale,"January 8, 1981",GF0dIqY,CC3nqx,518
George H. McIntyre House,4207 South River Road,St. Clair,"September 29, 1972",WxmK73d,uVYXI4E,466
Newport Academy,405 South Main Street,Marine City,"June 15, 1979",X2ZobJCE,tCSgH,209
North Channel Shooting Club,"1001 North Channel, on the St. Clair River",Clay Township,"January 21, 1988",WIfHeRKe,ORKEnz,560
Port Huron High School,323 Erie Street,Port Huron,"December 15, 1988",EN0oM,bY8z2,235
Ruby Methodist Church,"6650 Abbottsford Road, near Brott Road",Ruby,"July 19, 1990",0xWG2yHG,ykvjVwB,603
Saint Andrew's Episcopal Church,1507 St. Clair River Drive,Algonac,"January 16, 1990",vHAyVP93,hSW7d4,285
Saint Clair Inn†,500 Riverside,St. Clair,"October 20, 1994",ZN4Nb,GrcQYv,944
