Name,Quadrant,Sector,Ward,Type,2012PopulationRank,Population(2012),Population(2011),% change,Dwellings(2012),Area(km2),Populationdensity
Penbrooke Meadows,SE,East,10,Residential,46,"8,547","8,188",4.4,"3,212",2,"4,273.5"
Pineridge,NE,Northeast,5,Residential,36,"9,644","9,626",0.2,"3,799",2.6,"3,709.2"
Point Mckay,NW,Centre,7,Residential,170,"1,318","1,318",0,846,0.4,"3,295"
Pump Hill,SW,South,11,Residential,161,"1,614","1,655",−2.5,563,0.9,"1,793.3"
Queens Park Village,NW,Centre,7,Residential,191,415,400,3.8,188,0.6,691.7
Queensland,SE,South,14,Residential,100,"4,771","4,877",−2.2,"1,894",1.6,"2,981.9"
Ramsay,SE,Centre,9,Residential,151,"2,110","2,006",5.2,"1,132",1,"2,110"
Ranchlands,NW,Northwest,2,Residential,57,"7,626","7,529",1.3,"3,051",2.3,"3,315.7"
Red Carpet,SE,East,10,Residential,167,"1,555","1,630",−4.6,917,0.6,"2,591.7"
Redstone,NE,Northeast,3,Residential,225,0,0,—,0,1.9,0
Renfrew,NE,Centre,9,Residential,85,"5,846","5,669",3.1,"3,231",2.7,"2,165.2"
Residual Ward 1,NW/SW,West/Northwest,1,Residual Area,194,308,343,−10.2,110,n/a,—
Residual Ward 2,NW,North/Northwest,2,Residual Area,174,"1,181","1,140",3.6,25,n/a,—
Residual Ward 3,NE/NW,North/Northeast,3,Residual Area,199,83,109,−23.9,31,n/a,—
Residual Ward 4,,,4,Residual Area,210,3,4,−25,0,n/a,—
Residual Ward 5,NE,Northeast,5,Residual Area,204,35,28,25,11,n/a,—
Residual Ward 6,SW,West,6,Residual Area,203,37,36,2.8,13,n/a,—
Residual Ward 7,,,7,Residual Area,226,0,0,—,0,n/a,—
Residual Ward 8,,,8,Residual Area,227,0,0,—,0,n/a,—
Residual Ward 9,SE,East/Southeast,9,Residual Area,202,48,40,20,7,n/a,—
Residual Ward 10,SE/NE,East,10,Residual Area,179,834,827,0.8,378,n/a,—
Residual Ward 11,,,11,Residual Area,209,5,6,−16.7,0,n/a,—
Residual Ward 12,SE,Southeast,12,Residual Area,193,329,327,0.6,135,n/a,—
Residual Ward 13,SW,South,13,Residual Area,200,82,60,36.7,36,n/a,—
Residual Ward 14,SE/SW,South,14,Residual Area,201,60,58,3.4,27,n/a,—
Richmond,SW,Centre,8,Residential,107,"4,229","4,113",2.8,"2,259",1.8,"2,349.4"
