Name,Quadrant,Sector,Ward,Type,2012PopulationRank,Population(2012),Population(2011),% change,Dwellings(2012),Area(km2),Populationdensity,Random_Column_1,Dummy_Col_2
McKenzie Towne,SE,Southeast,12,Residential,6,"16,102","15,395",4.6,"6,783",4.8,"3,354.6",n6f5oZU4,ntefYOt
Meadowlark Park,SW,Centre,11,Residential,184,623,605,3,277,0.6,"1,038.3",i9XxZ,lFlid
Meridian,NE/SE,Northeast,10,Industrial,247,0,0,—,0,1.4,0,YPPXP,oiXXCbz
Midnapore,SE,South,14,Residential,66,"6,861","6,888",−0.4,"2,726",2.9,"2,365.9",YMi4Ts7,RKjCQ
Millrise,SW/SE,South,13,Residential,65,"6,892","6,717",2.6,"2,635",1.8,"3,828.9",rFzGXF,Dmtln
Mission,SW/SE,Centre,8,Residential,104,"4,325","4,363",−0.9,"3,177",0.5,"8,650",046mYlt,ZZXFN
Monterey Park,NE,Northeast,5,Residential,31,"10,470","10,460",0.1,"3,164",3.4,"3,079.4",7LEWMfi,UasVFR
Montgomery,NW,Northwest,1,Residential,112,"3,860","3,686",4.7,"1,839",3,"1,286.7",56vuBH,ZPMXuXVY
Mount Pleasant,NW,Centre,7,Residential,99,"4,851","4,718",2.8,"2,654",1.9,"2,553.2",IVB9d,FgliZ
New Brighton,SE,Southeast,12,Residential,50,"8,303","7,314",13.5,"3,247",2.9,"2,863.1",TUOZfi3,ytJxJQL
Nolan Hill,NW,North,2,Residential,222,0,0,—,23,2.1,0,Tz5cgFN,WczzdCg
North Airways,NE,Northeast,5,Industrial,223,0,20,−100,3,1.2,0,hJo1K6T,ULzcZ
North Glenmore Park,SW,West,11,Residential,140,"2,386","2,388",−0.1,"1,020",1.2,"1,988.3",AMdk70y,ICNJRlrP
North Haven,NW,North,4,Residential,144,"2,288","2,282",0.3,988,0.8,"2,860",UvqML,iWpMP
North Haven Upper,NW,North,4,Residential,185,622,615,1.1,246,0.3,"2,073.3",xf5oDXZ,pGezrE
Nose Hill Park,NW,Northwest,4,Major Park,248,0,0,—,0,11.6,0,8h4Qzt,Ptgxzp
Oakridge,SW,South,11,Residential,88,"5,651","5,719",−1.2,"2,291",2.4,"2,354.6",u0qOwgDx,QbfNpaG
Ogden,SE,Southeast,9,Residential,43,"8,702","8,432",3.2,"3,879",4.1,"2,122.4",bVQKK0,DLkkt
Ogden Shops,SE,East,9,Industrial,249,0,0,—,0,2.2,0,BoVg1,HzckvRE
Palliser,SW,South,11,Residential,125,"3,293","3,301",−0.2,"1,707",1,"3,293",vpJI8,jNXKKGNU
Panorama Hills,NW,North,3,Residential,1,"22,247","19,851",12.1,"7,398",6.3,"3,531.3",Ndvvd,PpnSH
Parkdale,NW,Centre,7,Residential,143,"2,296","2,317",−0.9,"1,020",1.1,"2,087.3",vHwXglIw,zMChcbD
Parkhill,SW,Centre,9,Residential,162,"1,592","1,623",−1.9,849,0.7,"2,274.3",qjsDKSZ,XgGoTOJ
Parkland,SE,South,14,Residential,115,"3,785","3,772",0.3,"1,448",1.8,"2,102.8",43RQsVp,abgcvxeu
Patterson,SW,West,6,Residential,106,"4,281","4,162",2.9,"2,008",2,"2,140.5",UyUSq,JDKvC
Pegasus,NE,Northeast,3,Industrial,224,0,0,—,2,0.3,0,jVfrfW,RwcugyQ
