Name,Quadrant,Sector,Ward,Type,2012PopulationRank,Population(2012),Population(2011),% change,Dwellings(2012),Area(km2),Populationdensity,Noise_Field_1
Dalhousie,NW,Northwest,7,Residential,40,"9,085","8,917",1.9,"3,739",3.3,"2,753",bNyWJ
Deer Ridge,SE,South,14,Residential,109,"4,084","3,991",2.3,"1,501",1.4,"2,917.1",jPyer
Deer Run,SE,South,14,Residential,91,"5,341","5,390",−0.9,"2,113",1.9,"2,811.1",ckGuU
Deerfoot Business Centre,NE,Northeast,3,Industrial,239,0,0,—,0,2,0,pHDqL
Diamond Cove,SE,South,14,Residential,181,699,716,−2.4,271,0.5,"1,398",fyCjbzs
Discovery Ridge,SW,West,6,Residential,103,"4,350","4,321",0.7,"1,649",3.6,"1,208.3",SbhhZuP
Douglasdale/Glen,SE,Southeast,12,Residential,15,"11,890","11,768",1,"4,217",6.4,"1,857.8",eRpDPLA
Dover,SE,East,9,Residential,30,"10,474","10,302",1.7,"4,722",4.2,"2,493.8",WmmWd
Downtown Commercial Core,SW/SE,Centre,7/8,Residential,52,"8,015","8,071",−0.7,"5,121",1.3,"6,165.4",rlLSbkW
Downtown East Village,SE,Centre,7,Residential,132,"2,782","2,747",1.3,"1,230",0.5,"5,564",oVeyTyS
Downtown West End,SW,Centre,8,Residential,142,"2,322","2,483",−6.5,"1,628",0.4,"5,805",CozVBf
Eagle Ridge,SW,South,11,Residential,190,415,443,−6.3,110,0.4,"1,037.5",fNKZSqNV
East Fairview Industrial,SE,South,9,Industrial,213,0,0,—,1,2.3,0,rYywvO
East Shepard Industrial,SE,Southeast,12,Industrial,240,0,0,—,0,17.4,0,QhcAR
Eastfield,SE,East,10,Industrial,241,0,0,—,0,1.1,0,ENNCqI
Eau Claire,SW,Centre,7,Residential,158,"1,851","1,711",8.2,"1,328",0.5,"3,702",UgaFNEFv
Edgemont,NW,Northwest,4,Residential,8,"15,898","16,082",−1.1,"5,421",6.6,"2,408.8",rIGBq
Elbow Park,SW,Centre,8/11,Residential,122,"3,377","3,408",−0.9,"1,221",1.8,"1,876.1",QVuFR
Elboya,SW,Centre,11,Residential,159,"1,712","1,747",−2,783,0.7,"2,445.7",oneteB
Erin Woods,SE,East,10,Residential,64,"6,901","6,794",1.6,"2,453",1.6,"4,313.1",mYrrF
Erlton,SW/SE,Centre,9,Residential,173,"1,234","1,231",0.2,742,0.5,"2,468",yFYItthD
Evanston,NW,North,2,Residential,68,"6,594","5,889",12,"2,576",4.9,"1,345.7",ouqTnN
Evergreen,SW,South,13,Residential,2,"20,110","19,487",3.2,"6,961",4.6,"4,371.7",dYpbDeTb
Fairview,SE,South,9,Residential,119,"3,623","3,552",2,"1,606",1.3,"2,786.9",sDPjgF
Fairview Industrial,SE,South,9,Industrial,214,0,0,—,2,1.3,0,rEeHDEoG
Falconridge,NE,Northeast,5,Residential,32,"10,381","10,043",3.4,"3,478",2.2,"4,718.6",HOKkwK
