Name,Quadrant,Sector,Ward,Type,2012PopulationRank,Population(2012),Population(2011),% change,Dwellings(2012),Area(km2),Populationdensity
Hotchkiss,SE,Northeast,12,Residential,,,,,,,
Hounsfield Heights/Briar Hill,NW,Centre,7,Residential,130,"2,954","2,927",0.9,"1,109",1.2,"2,461.7"
Huntington Hills,NW/NE,North,4,Residential,13,"13,213","13,279",−0.5,"5,580",4.8,"2,752.7"
Inglewood,SE,Centre,9,Residential,120,"3,564","3,473",2.6,"2,241",2.5,"1,425.6"
Kelvin Grove,SW,South,11,Residential,141,"2,343","2,334",0.4,903,0.8,"2,928.8"
Killarney/Glengarry,SW,Centre,8,Residential,67,"6,816","6,543",4.2,"3,679",1.8,"3,786.7"
Kincora,NW,North,2,Residential,98,"4,876","4,625",5.4,"1,548",2.3,"2,120"
Kingsland,SW,South,11,Residential,102,"4,513","4,418",2.2,"2,383",1.3,"3,471.5"
Lake Bonavista,SE,South,14,Residential,29,"10,475","10,610",−1.3,"4,106",5.2,"2,014.4"
Lakeview,SW,West,11,Residential,90,"5,468","5,501",−0.6,"2,338",2.2,"2,485.5"
Legacy,SE,South,14,Residential,219,0,11,−100,0,6.1,0
Lincoln Park,SW,West,11,Residential,139,"2,505","2,501",0.2,"1,413",1.5,"1,670"
Lower Mount Royal,SW,Centre,8,Residential,127,"3,180","2,981",6.7,"2,266",0.3,"10,600"
MacEwan Glen,NW,North,4,Residential,96,"5,100","5,138",−0.7,"1,781",1.4,"3,642.9"
Mahogany,SE,Southeast,12,Residential,171,"1,266",788,60.7,572,6.4,197.8
Manchester,SW,Centre,9,Residential,186,618,669,−7.6,448,0.5,"1,236"
Manchester Industrial,SE/SW,Centre,9,Industrial,220,0,0,—,3,4.6,0
Maple Ridge,SE,South,14,Residential,156,"1,910","1,978",−3.4,811,2.8,682.1
Marlborough,NE,Northeast,10,Residential,48,"8,434","8,310",1.5,"3,123",2.7,"3,123.7"
Marlborough Park,NE,Northeast,10,Residential,49,"8,391","8,278",1.4,"3,050",2.5,"3,356.4"
Martindale,NE,Northeast,5,Residential,12,"13,674","12,987",5.3,"3,912",2.7,"5,064.4"
Mayfair,SW,Centre,11,Residential,187,481,470,2.3,156,0.3,"1,603.3"
Mayland,SE/NE,Northeast,10,Industrial,221,0,0,—,1,1.2,0
Mayland Heights,NE,Northeast,10,Residential,86,"5,833","5,835",0,"2,787",2,"2,916.5"
McCall,NE,Northeast,5,Industrial,246,0,0,—,0,2.4,0
McKenzie Lake,SE,Southeast,12,Residential,10,"14,050","14,062",−0.1,"4,653",5.1,"2,754.9"
