Name,Quadrant,Sector,Ward,Type,2012PopulationRank,Population(2012),Population(2011),% change,Dwellings(2012),Area(km2),Populationdensity
Rideau Park,SW,Centre,9,Residential,183,636,627,1.4,342,0.3,"2,120"
Riverbend,SE,Southeast,9,Residential,35,"9,684","9,749",−0.7,"3,449",4.1,"2,362"
Rocky Ridge,NW,Northwest,1,Residential,56,"7,662","7,266",5.5,"2,972",2.8,"2,736.4"
Rosedale,NW,Centre,7,Residential,165,"1,569","1,592",−1.4,636,0.7,"2,241.4"
Rosemont,NW,Centre,7,Residential,172,"1,241","1,208",2.7,563,0.5,"2,482"
Rosscarrock,SW,West,8,Residential,123,"3,356","3,175",5.7,"1,645",1.1,"3,050.9"
Roxboro,SW,Centre,9,Residential,189,421,441,−4.5,161,0.3,"1,403.3"
Royal Oak,NW,Northwest,2,Residential,23,"11,252","10,979",2.5,"3,940",3.6,"3,125.6"
Royal Vista,NW,Northwest,2,Industrial,250,0,0,—,0,1.3,0
Rundle,NE,Northeast,5,Residential,22,"11,258","11,029",2.1,"3,836",2.6,"4,330"
Rutland Park,SW,West,11,Residential,145,"2,227","2,309",−3.6,972,0.7,"3,181.4"
Saddle Ridge,NE,Northeast,3,Residential,9,"14,372","13,388",7.3,"3,668",5.5,"2,613.1"
Saddle Ridge Industrial,NE,Northeast,3,Industrial,205,35,60,−41.7,24,2.5,14
Sage Hill,NW,North,2,Residential,150,"2,189","1,425",53.6,992,3.8,576.1
Sandstone Valley,NW,North,4,Residential,73,"6,253","6,142",1.8,"2,120",1.8,"3,473.9"
Scarboro,SW,Centre,8,Residential,178,880,870,1.1,343,0.5,"1,760"
Scarboro/Sunalta West,SW,Centre,8,Residential,192,410,397,3.3,165,0.4,"1,025"
Scenic Acres,NW,Northwest,1,Residential,45,"8,650","8,710",−0.7,"2,921",4.3,"2,011.6"
Section 23,SE,Southeast,9,Industrial,228,0,0,—,1,3.1,0
Seton,SE,Southeast,12,Residential,229,0,0,—,0,1.7,0
Shaganappi,SW,Centre,8,Residential,168,"1,553","1,459",6.4,862,1.5,"1,035.3"
Shawnee Slopes,SW,South,13,Residential,166,"1,565","1,529",2.4,866,1.2,"1,304.2"
Shawnessy,SW/SE,South,13,Residential,37,"9,385","9,315",0.8,"3,300",3.7,"2,536.5"
Shepard Industrial,SE,Southeast,9/12,Industrial,196,251,250,0.4,151,4.2,59.8
Sherwood,NW,North,2,Residential,138,"2,523","2,109",19.6,979,2.4,"1,051.3"
Signal Hill,SW,West,6,Residential,11,"13,914","13,795",0.9,"5,253",5.6,"2,484.6"
