Name,Quadrant,Sector,Ward,Type,2012PopulationRank,Population(2012),Population(2011),% change,Dwellings(2012),Area(km2),Populationdensity
Fish Creek Park,SE/SW,South,12/13/14,Major Park,242,0,0,—,0,15.6,0
Foothills,SE,East,9,Industrial,195,298,326,−8.6,2,7.6,39.2
Forest Heights,SE,East,10,Residential,76,"6,212","6,185",0.4,"2,221",1.5,"4,141.3"
Forest Lawn,SE,East,10,Residential,58,"7,487","7,313",2.4,"3,352",2.3,"3,255.2"
Forest Lawn Industrial,SE,East,10,Industrial,198,130,120,8.3,63,1.5,86.7
Franklin,NE/SE,Northeast,10,Industrial,215,0,0,—,3,1.5,0
Glamorgan,SW,West,6,Residential,70,"6,376","6,242",2.1,"2,988",2,"3,188"
Glenbrook,SW,West,6,Residential,61,"7,056","6,893",2.4,"3,247",1.9,"3,713.7"
Glendale,SW,West,6,Residential,133,"2,749","2,730",0.7,"1,111",1.4,"1,963.6"
Glendeer Business Park,SE,South,9,Industrial,243,0,0,—,0,0.3,0
Glenmore Park,SW,West,11,Major Park,216,0,0,—,3,10.2,0
Golden Triangle,SE,East,9,Industrial,217,0,0,—,1,0.5,0
Great Plains,SE,East,9,Industrial,244,0,0,—,0,4.3,0
Greenview,NE,North,4,Residential,153,"1,975","1,956",1,"1,120",0.5,"3,950"
Greenview Industrial Park,NE,North,4/9,Industrial,218,0,0,—,5,2.1,0
Greenwood/Greenbriar,NW,Northwest,1,Residential,175,946,932,1.5,501,1.2,788.3
Hamptons,NW,Northwest,2,Residential,53,"7,905","7,843",0.8,"2,471",3.5,"2,258.6"
Harvest Hills,NE,North,3,Residential,59,"7,402","7,485",−1.1,"2,569",2.2,"3,364.5"
Hawkwood,NW,Northwest,2,Residential,34,"9,831","9,898",−0.7,"3,331",3.2,"3,072.2"
Haysboro,SW,South,11,Residential,63,"6,943","6,724",3.3,"3,637",2.7,"2,571.5"
Hidden Valley,NW,North,4,Residential,19,"11,799","11,657",1.2,"3,867",4.3,"2,744"
Highfield,SE,Centre,9,Industrial,245,0,0,—,0,2.7,0
Highland Park,NW/NE,Centre,4,Residential,114,"3,792","3,539",7.1,"2,123",1.4,"2,708.6"
Highwood,NW,Centre,7,Residential,147,"2,214","2,098",5.5,993,0.9,"2,460"
Hillhurst,NW,Centre,7,Residential,71,"6,291","5,914",6.4,"3,557",2.1,"2,995.7"
Horizon,NE,Northeast,3/5,Industrial,207,31,74,−58.1,4,2.3,13.5
