Name,Quadrant,Sector,Ward,Type,2012PopulationRank,Population(2012),Population(2011),% change,Dwellings(2012),Area(km2),Populationdensity
Canada Olympic Park,SW,West,1,Major Park,238,0,0,—,0,0.9,0
Canyon Meadows,SW,South,13,Residential,55,"7,787","7,895",−1.4,"3,195",3.1,"2,511.9"
Capitol Hill,NW,Centre,7,Residential,110,"4,015","4,003",0.3,"2,291",1.4,"2,867.9"
Castleridge,NE,Northeast,5,Residential,78,"6,096","6,098",0,"1,954",1.2,"5,080"
Cedarbrae,SW,South,11,Residential,74,"6,237","6,264",−0.4,"2,609",2.1,"2,970"
CFB Currie,SW,West,11,Residential,197,172,24,616.7,76,1.1,156.4
CFB Lincoln Park PMQ,SW,West,11,Residential,154,"1,973","1,984",−0.6,729,0.4,"4,932.5"
Chaparral,SE,South,14,Residential,21,"11,552","11,151",3.6,"3,759",5.4,"2,139.3"
Charleswood,NW,Northwest,7,Residential,121,"3,421","3,357",1.9,"1,494",1.8,"1,900.6"
Chinatown,SW/SE,Centre,7,Residential,164,"1,577","1,269",24.3,"1,381",0.2,"7,885"
Chinook Park,SW,South,11,Residential,160,"1,707","1,703",0.2,589,0.6,"2,845"
Christie Park,SW,West,6,Residential,149,"2,196","2,180",0.7,728,0.8,"2,745"
Citadel,NW,Northwest,2,Residential,33,"10,197","10,171",0.3,"3,479",2.7,"3,776.7"
Cityscape,NE,Northeast,3,Residential,,,,,,,
Cliff Bungalow,SW,Centre,8,Residential,155,"1,936","1,912",1.3,"1,377",0.4,"4,840"
Coach Hill,SW,West,6,Residential,126,"3,279","3,194",2.7,"1,480",1.1,"2,980.9"
Collingwood,NW,Northwest,7,Residential,146,"2,222","2,231",−0.4,978,1.6,"1,388.8"
Copperfield,SE,Southeast,12,Residential,54,"7,834","7,162",9.4,"3,043",4.4,"1,780.5"
Coral Springs,NE,Northeast,5,Residential,84,"5,868","5,838",0.5,"1,508",1.8,"3,260"
Cougar Ridge,SW,West,6,Residential,83,"5,874","5,813",1,"1,908",2.2,"2,670"
Country Hills,NW,North,4,Residential,116,"3,728","3,720",0.2,"1,426",1.9,"1,962.1"
Country Hills Village,NE,North,3,Residential,135,"2,615","2,342",11.7,"1,467",1,"2,615"
Coventry Hills,NE,North,3,Residential,7,"15,969","15,722",1.6,"5,322",4.1,"3,894.9"
Cranston,SE,Southeast,12,Residential,16,"11,857","10,831",9.5,"4,625",8.3,"1,428.6"
Crescent Heights,NE/NW,Centre,7,Residential,72,"6,271","5,895",6.4,"3,614",1.6,"3,919.4"
Crestmont,SW,West,1,Residential,169,"1,454","1,430",1.7,462,0.6,"2,423.3"
