Name,Club,Position,Years,Current status,International caps,Irrelevant_1,Extra_Data_2
Joshua Kennedy*,Nagoya Grampus,FW,1998–99,Playing,30,WJP4E5SD,906
Jade North,Brisbane Roar,DF,1999,Playing,39,eC6KS,177
Nathan Coe,Melbourne Victory,GK,2000-01,Playing,3,4kKYHYh,823
Alex Brosque,Al Ain FC,FW,2001,Playing,7,fIK2Yj1X,177
Matt McKay,Changchun Yatai,MF,2001,Playing,33,tBw0j,147
Carl Valeri*,Sassuolo,MF,2001–02,Playing,50,uZcEwS,529
Adam Federici*,Reading,GK,2001–02,Playing,8,UFKe0,535
Mark Milligan*,Melbourne Victory,DF,2002,Playing,19,q2QMiPT,618
David Williams,Melbourne Heart,FW,2005,Playing,2,1gPYi4D,819
Robbie Kruse,Fortuna Düsseldorf,FW,2005–06,Playing,21,ObYf56SL,850
Mitchell Langerak,Borussia Dortmund,GK,2005–06,Playing,0,6Iuxi3,284
