Name,Club,Position,Years,Current status,International caps,Irrelevant_1,Irrelevant_2
Alistair Edwards,Australia U-20,FW,1988,Coaching,22,zrN7GPg,DAGxu
Steve Corica,Sydney FC,MF,1989–90,Coaching,32,y9GEL59,D9jA019Y
Kevin Muscat,Melbourne Victory,DF,1990–91,Coaching,51,D5MhxRb,BjXfRF
Ante Milicic,Western Sydney Wanderers,FW,1990–91,Coaching,6,rsFiAmY,qB9KpOr
Goran Lozanovski*,,MF,1990–91,Retired,9,CE42J1,Tpn8cB0
Craig Moore*,,DF,1992–93,Retired,52,ZmotarKr,DpnQIrQ
Clint Bolton,Melbourne Heart,GK,1992–93,Playing,4,c01QhrCG,I1M9N
Hayden Foxe,,DF,1993–94,Retired,11,eSveF7k,yc2DSu
Josip Skoko*,,MF,1992–93,Coaching,51,OqzRqDn,6zAcLQm
John Aloisi*,Melbourne Heart,FW,1992–93,Coaching,55,srdMT,4skvSa
Mark Viduka*,,FW,1992–93,Retired,43,kzWFCbG,emfbq0
