Name,Club,Position,Years,Current status,International caps,Extra_Data_1,Dummy_Col_2,Dummy_Col_3
Frank Farina,Sydney FC,FW,1982–83,Coaching,67,642,YfoEJq,KryXHY
Warren Spink,,FW,1983–84,Retired,38,999,MlXGhx,xzVsbn
Robbie Hooker,,DF,1984-85,Coaching,22,220,PXKsyqo,LCBDhPMA
Jason Polak,,MF,1985-87,Retired,28,991,kPBRyP,DLhcY
Paul Trimboli,,FW,1986,Media,46,892,hvZfuWvY,FkQmggSx
Jason van Blerk,,MF,1986,Coaching,33,784,qxCwCA,FJPoqxbC
Craig Foster,,MF,1986-87,Media,29,244,zZgah,gXiuK
Steve Horvat,,DF,1987-88,Retired,32,958,OEbGnLuA,NOufVNqR
Ned Zelić,,DF,1988,Media,34,515,EgecQMgQ,ECxPicV
Shaun Murphy,,DF,1988,Retired,27,7,DhLZXqf,vXVqKjTq
George Sorras,,FW,1989-90,Retired,27,997,xRKtxL,dgRIXaCq
