Name,Club,Position,Years,Current status,International caps
Nikita Rukavytsya*,Mainz 05,FW,2005–06,Playing,11
Bruce Djite,Adelaide United,FW,2006,Playing,9
Dario Vidošić*,Adelaide United,MF,2006,Playing,14
Matthew Špiranović,Western Sydney Wanderers,DF,2006,Playing,16
Nathan Burns,Newcastle Jets,MF,2006,Playing,7
James Holland,Austria Wien,MF,2006–07,Playing,9
Apostolos Giannou,Platanias,FW,2007,Playing,0
Luke De Vere,Gyeongnam,DF,2007-08,Playing,0
Mustafa Amini,Borussia Dortmund,MF,2009,Playing,0
Terry Antonis,Sydney FC,MF,2009,Playing,0
Kerem Bulut,Akhisar Belediyespor,FW,2009,Playing,0
