#,Date,Opponent,Score,Win,Loss,Save,Attendance,Record,Irrelevant_1,Noise_Field_2
88,July 18,Rangers,5 - 4 (10),McLaughlin (8-3),Darwin (6-4),,"15,512",41-47,ZdCHd,udyCrk
89,July 19,Royals,4 - 2,Leal (6-7),Black (3-3),,"16,466",42-47,otPhQh,dBZaZ
90,July 20,Royals,9 - 2,Stieb (9-10),Gura (10-7),,"18,552",43-47,NasMQU8D,TlWkwK
91,July 21,Royals,9 - 7,Blue (7-7),Clancy (8-8),Quisenberry (23),"19,152",43-48,8QoKfIJc,ZsesfA
92,July 22,@ White Sox,3 - 2,Burns (10-4),McLaughlin (8-4),,"21,875",43-49,kdlL9aqW,NgxkT
93,July 23,@ White Sox,7 - 1,Leal (7-7),Barnes (0-2),Jackson (5),"27,770",44-49,GzJAid9,oHuheyN
94,July 24,@ White Sox,8 - 1,Stieb (10-10),Lamp (7-5),Murray (1),"21,821",45-49,hoMH7,xxIpaj
95,July 25,@ White Sox,5 - 3,Hoyt (12-9),Clancy (8-9),,"17,452",45-50,JK2wNVU,scFPj
96,July 26,@ Red Sox,3 - 2,Eckersley (11-8),Gott (1-6),,"22,261",45-51,yZabJWby,XQLmLm
97,July 27,@ Red Sox,3 - 1,Leal (8-7),Tudor (6-8),,"27,077",46-51,ujsQpsY,GLKgDY
98,July 28,@ Red Sox,9 - 7,Ojeda (4-5),Jackson (3-7),Stanley (8),"18,627",46-52,h3Cp8,IedgOE
99,July 30,Tigers,6 - 5 (12),Murray (7-3),James (0-2),,"18,262",47-52,6FmV5p5K,TksVQJtu
100,July 31,Tigers,1 - 0 (10),Gott (2-6),Rucker (1-1),,"21,007",48-52,Iz2XjUbU,GwWSyAr
