Year,Song,Chart PositionsUS Country,Chart PositionsCAN Country,Album,Unused_1,Noise_Field_2
1977,"\Don't Let My Love Stand in Your Way\""""",86,—,singles only,,OLEBJVzq
1983,"\When You're Not a Lady\""""",16,—,The Man in the Mirror,,PPzMQgEn
1983,"\You Got Me Running\""""",28,—,The Man in the Mirror,,DrPZoEb
1983,"\The Man in the Mirror\""""",17,—,The Man in the Mirror,,ZsRTrj
1984,"\If I Could Only Dance with You\""""",10,10,The Man in the Mirror,,sFZYP
1984,"\You're Gettin' to Me Again\""""",1,3,The Man in the Mirror,,TzbdDz
1984,"\Let Me Down Easy\""""",16,33,The Man in the Mirror,,QbqfScq
1985,"\I'll Be Your Fool Tonight\""""",54,—,Past the Point of No Return,,iFEwXkB
1985,"\In Another Minute\""""",27,—,Past the Point of No Return,,VoPzUpXL
1986,"\If I Don't Love You\""""",53,—,Past the Point of No Return,,FxvdA
1986,"\The Lights of Albuquerque\""""",40,—,Everybody Knows I'm Yours,,CZqhjU
