Year,Party Affiliation,Winner,Number of Votes,Party Affiliation,Loser,Number of Votes,Percentage of Votes,Dummy_Col_1,Random_Column_2,Irrelevant_3
1968,Republican,Fred Schwengel,"91,419",Democrat,John R. Schmidhauser,"81,049",53% - 47%,RZDjkq,EJ7JVeDL,ts6xMn8
1970,Republican,Fred Schwengel,"60,270",Democrat,Edward Mezvinsky,"59,505",50% - 49%,ELMTx,S5qV08t,CYaKi
1972,Democrat,Edward Mezvinsky,"107,099",Republican,Fred Schwengel,"91,609",53% - 46%,rCHqP,n1tg5,HR9qT
1974,Democrat,Edward Mezvinsky,"75,687",Republican,James A. Leach,"63,540",54% - 46%,uuNvguDA,T8vPYH,Er2Wq8G3
1976,Republican,James A. Leach,"109,694",Democrat,Edward Mezvinsky,"101,024",52% - 48%,OUnWhSCg,rWfM2,haLq6lR
1978,Republican,James A. Leach,"79,940",Democrat,Richard E. Meyers,"45,037",63% - 36%,qjqVa,o7qx0XpF,qyqbcd
1980,Republican,James A. Leach,"133,349",Democrat,Jim Larew,"72,602",64% - 35%,OlIvTa,W30DGGd,HvKkw
1982,Republican,James A. Leach,"89,595",Democrat,Bill Gluba,"61,734",59% - 41%,XjoEobuM,s69VGtX,14MNRm
1984,Republican,James A. Leach,"131,182",Democrat,Kevin Ready,"65,293",68% - 33%,HfUclgES,yyy5OBB,w1hnvax
1986,Republican,James A. Leach,"86,834",Democrat,John R. Whitaker,"43,985",66% - 34%,mtNVWCte,Jkxd0CnX,o7f6b
1988,Republican,James A. Leach,"112,746",Democrat,Bill Gluba,"71,280",61% - 38%,sJurkLf,tL9qlHqn,vt5KJSR
