Year,Party Affiliation,Winner,Number of Votes,Party Affiliation,Loser,Number of Votes,Percentage of Votes
1944,Republican,Thomas E. Martin,"72,729",Democrat,Clair A. Williams,"60,048",55% - 45%
1946,Republican,Thomas E. Martin,"52,488",Democrat,Clair A. Williams,"32,849",62% - 38%
1948,Republican,Thomas E. Martin,"70,959",Democrat,James D. France,"60,860",53% - 46%
1950,Republican,Thomas E. Martin,"70,058",Democrat,James D. France,"43,140",62% - 38%
1952,Republican,Thomas E. Martin,"105,526",Democrat,Clair A. Williams,"62,011",63% - 37%
1954,Republican,Fred Schwengel,"67,128",Democrat,John O'Connor,"50,577",57% - 43%
1956,Republican,Fred Schwengel,"94,223",Democrat,Ronald O. Bramhall,"68,287",58% - 42%
1958,Republican,Fred Schwengel,"59,577",Democrat,Thomas J. Dailey,"51,996",53% - 47%
1960,Republican,Fred Schwengel,"104,737",Democrat,Walter J. Guenther,"67,287",61% - 39%
1962,Republican,Fred Schwengel,"65,975",Democrat,Harold Stephens,"42,000",61% - 39%
1964,Democrat,John R. Schmidhauser,"84,042",Republican,Fred Schwengel,"80,697",51% - 49%
1966,Republican,Fred Schwengel,"64,795",Democrat,John R. Schmidhauser,"60,534",51% - 48%
