Year,Party Affiliation,Winner,Number of Votes,Party Affiliation,Loser,Number of Votes,Percentage of Votes
1990,Republican,James A. Leach,"90,042",Scattering,Scattering,151,99% - 1%
1992,Republican,James A. Leach,"178,042",Democrat,Jan J. Zonneveld,"81,600",68% - 31%
1994,Republican,James A. Leach,"110,448",Democrat,Glen Winekauf,"69,461",60% - 38%
1996,Republican,James A. Leach,"129,242",Democrat,Bob Rush,"111,595",53% - 46%
1998,Republican,James A. Leach,"106,419",Democrat,Bob Rush,"79,529",57% - 42%
2000,Republican,James A. Leach,"164,972",Democrat,Bob Simpson,"96,283",62% - 36%
2002,Republican,Jim Nussle,"112,280",Democrat,Ann Hutchinson,"83,779",57% - 43%
2004,Republican,Jim Nussle,"159,993",Democrat,Bill Gluba,"125,490",55% - 44%
2006,Democrat,Bruce Braley,"113,724",Republican,Mike Whalen,"89,471",56% - 44%
2008,Democrat,Bruce Braley,"178,229",Republican,David Hartsuch,"99,447",64% - 35%
2010,Democrat,Bruce Braley,"103,931",Republican,Ben Lange,"99,976",49% - 48%
