Representative,Title,Presentationof Credentials,Terminationof Mission,Appointed by,Extra_Data_1,Random_Column_2,Extra_Data_3
Whiting Willauer,Ambassador Extraordinary and Plenipotentiary,"March 5, 1954","March 24, 1958",Dwight D. Eisenhower,796,wF7EZsw,238
Robert Newbegin,Ambassador Extraordinary and Plenipotentiary,"April 30, 1958","August 3, 1960",Dwight D. Eisenhower,10,fX9ZVV,658
Charles R. Burrows,Ambassador Extraordinary and Plenipotentiary,"November 3, 1960","June 28, 1965",Dwight D. Eisenhower,689,zZm5T,19
Joseph J. Jova,Ambassador Extraordinary and Plenipotentiary,"July 12, 1965","June 21, 1969",Lyndon B. Johnson,38,imEARK,80
Hewson A. Ryan,Ambassador Extraordinary and Plenipotentiary,"November 5, 1969","May 30, 1973",Richard Nixon,434,XRokdj,488
Phillip V. Sanchez,Ambassador Extraordinary and Plenipotentiary,"June 15, 1973","July 17, 1976",Richard Nixon,47,ZmhlP6,872
Ralph E. Becker,Ambassador Extraordinary and Plenipotentiary,"October 27, 1976","August 1, 1977",Gerald Ford,529,CTac4,261
Mari-Luci Jaramillo,Ambassador Extraordinary and Plenipotentiary,"October 27, 1977","September 19, 1980",Jimmy Carter,433,hsX8P532,895
Jack R. Binns,Ambassador Extraordinary and Plenipotentiary,"October 10, 1980","October 31, 1981",Jimmy Carter,524,5e3wtiaQ,949
John D. Negroponte,Ambassador Extraordinary and Plenipotentiary,"November 11, 1981","May 30, 1985",Ronald Reagan,718,iKhaUDaa,213
