Representative,Title,Presentationof Credentials,Terminationof Mission,Appointed by
John Arthur Ferch,Ambassador Extraordinary and Plenipotentiary,"August 22, 1985","July 9, 1986",Ronald Reagan
Everett Ellis Briggs,Ambassador Extraordinary and Plenipotentiary,"November 4, 1986","June 15, 1989",Ronald Reagan
"Cresencio S. Arcos, Jr.",Ambassador Extraordinary and Plenipotentiary,"January 29, 1990","July 1, 1993",George H. W. Bush
William Thornton Pryce,Ambassador Extraordinary and Plenipotentiary,"July 21, 1993","August 15, 1996",Bill Clinton
James F. Creagan,Ambassador Extraordinary and Plenipotentiary,"August 29, 1996","July 20, 1999",Bill Clinton
Frank Almaguer,Ambassador Extraordinary and Plenipotentiary,"August 25, 1999","September 5, 2002",Bill Clinton
Larry Leon Palmer,Ambassador Extraordinary and Plenipotentiary,"October 8, 2002","May 7, 2005",George W. Bush
Charles A. Ford,Ambassador Extraordinary and Plenipotentiary,"November 8, 2005",ca. April 2008,George W. Bush
Hugo Llorens,Ambassador Extraordinary and Plenipotentiary,"September 19, 2008",ca. July 2011,George W. Bush
Lisa Kubiske,Ambassador Extraordinary and Plenipotentiary,"July 26, 2011",Incumbent,Barack Obama
