Representative,Title,Presentationof Credentials,Terminationof Mission,Appointed by
Solon Borland,Envoy Extraordinary and Minister Plenipotentiary,,"April 17, 1854",Franklin Pierce
Beverly L. Clarke,Minister Resident,"August 10, 1858","March 17, 1860",James Buchanan
James R. Partridge,Minister Resident,"April 25, 1862","November 14, 1862",Abraham Lincoln
Thomas H. Clay,Minister Resident,"April 5, 1864","August 10, 1866",Abraham Lincoln
Richard H. Rousseau,Minister Resident,"October 10, 1866","August 10, 1869",Andrew Johnson
Henry Baxter,Minister Resident,"August 10, 1869","June 30, 1873",Ulysses S. Grant
George Williamson,Minister Resident,"February 19, 1874","January 31, 1879",Ulysses S. Grant
Cornelius A. Logan,Minister Resident,"October 10, 1879","April 15, 1882",Rutherford B. Hayes
Henry C. Hall,Minister Resident,"April 21, 1882","September 26, 1882",Chester A. Arthur
Henry C. Hall,Envoy Extraordinary and Minister Plenipotentiary,"September 26, 1882","May 16, 1889",Chester A. Arthur
Lansing B. Mizner,Envoy Extraordinary and Minister Plenipotentiary,"March 30, 1889","December 31, 1890",Benjamin Harrison
