Representative,Title,Presentationof Credentials,Terminationof Mission,Appointed by,Noise_Field_1
Romualdo Pacheco,Envoy Extraordinary and Minister Plenipotentiary,"April 17, 1891","June 12, 1893",Benjamin Harrison,QlPvg
Pierce M. B. Young,Envoy Extraordinary and Minister Plenipotentiary,"November 12, 1893","May 23, 1896",Grover Cleveland,QdxPraV
Macgrane Coxe,Envoy Extraordinary and Minister Plenipotentiary,,"June 30, 1897",Grover Cleveland,lBXSwlhO
W. Godfrey Hunter,Envoy Extraordinary and Minister Plenipotentiary,"January 19, 1899","February 2, 1903",William McKinley,Jvjuszvd
Leslie Combs,Envoy Extraordinary and Minister Plenipotentiary,"May 22, 1903","February 27, 1907",Theodore Roosevelt,JmWAd
Joseph W. J. Lee,Envoy Extraordinary and Minister Plenipotentiary,,"July 1, 1907",Theodore Roosevelt,GEIQe
H. Percival Dodge,Envoy Extraordinary and Minister Plenipotentiary,"June 17, 1908","February 6, 1909",Theodore Roosevelt,mMyhLeHx
Philip Marshall Brown,Envoy Extraordinary and Minister Plenipotentiary,"February 21, 1909","February 26, 1910",Theodore Roosevelt,nyRsF
Fenton R. McCreery,Envoy Extraordinary and Minister Plenipotentiary,"March 10, 1910","July 2, 1911",William H. Taft,DOPpf
Charles Dunning White,Envoy Extraordinary and Minister Plenipotentiary,"September 9, 1911","November 4, 1913",William H. Taft,XfivsaB
John Ewing,Envoy Extraordinary and Minister Plenipotentiary,"December 26, 1913","January 18, 1918",Woodrow Wilson,nLedMSur
